alliance_id,alliance_name,alliance_type,member_empires,combined_gdp,combined_population,combined_fleet_power
ALL-0001,The Consolidated-Consolidated Scientific Alliance,Research Alliance,"f8c1278b86,4836a15586",10000.0,0.0,11428.92
ALL-0002,Great-Great Defense Pact,Defense Pact,"9594053f90,22b55b78e2",10000.0,0.0,11488.88
ALL-0003,Orionian-Great Defense Pact,Defense Pact,"c4f121b6c1,7036dbff3e",10000.0,30743056.0,1788.48
ALL-0004,Orionian-Consolidated Defense Pact,Defense Pact,"c4f121b6c1,c98968025a",10000.0,0.0,2811.85
ALL-0005,The Scientific-Valis Scientific Alliance,Research Alliance,"26b5626b6c,8a41c4ac34",10000.0,0.0,16082.25
ALL-0006,The Scientific-Great Scientific Alliance,Research Alliance,"26b5626b6c,15286fa1f5",10000.0,32908665.0,19858.4
ALL-0007,The Valis-Great Scientific Alliance,Research Alliance,"8a41c4ac34,15286fa1f5",10000.0,32908665.0,9853.56
ALL-0008,Scientific-Consolidated Defense Pact,Defense Pact,"2f0954acad,c7c9fca9a1",10000.0,0.0,8123.52
ALL-0009,Scientific-Great Defense Pact,Defense Pact,"2f0954acad,9cad00795f",10000.0,0.0,10173.53
ALL-0010,The Scientific-Great Scientific Alliance,Research Alliance,"2f0954acad,35b25d7eaf",10000.0,0.0,20268.86
ALL-0011,Consolidated-Great Defense Pact,Defense Pact,"c7c9fca9a1,9cad00795f",10000.0,0.0,2887.62
ALL-0012,The Consolidated-Consolidated Scientific Alliance,Research Alliance,"c7c9fca9a1,155f4eead5",10000.0,0.0,1552.36
ALL-0013,The Consolidated-Great Scientific Alliance,Research Alliance,"95cba99a70,73cb158d41",10000.0,0.0,5460.33
ALL-0014,The Consolidated-Unified Scientific Alliance,Research Alliance,"95cba99a70,7419a59432",10000.0,0.0,3415.35
ALL-0015,The Consolidated-Consolidated Scientific Alliance,Research Alliance,"95cba99a70,3be9d94e07",10000.0,0.0,5828.65
ALL-0016,Great-Unified Defense Pact,Defense Pact,"73cb158d41,7419a59432",10000.0,0.0,5666.01
