civilization_id,name,species_id,species_name,planet_id,population,tech_level,research_points,tech_tier,tech_stage_name,energy_source,energy_output_watts,kardashev_rating,government_type,stability_score,corruption_score,innovation_score,civilization_age
f8c1278b86,Consolidated Zelis Worlds,5ccdfbff52,Zelis,7e45451827,57475565614.023094,9.1354,96341684.13,9,Galactic Civilization,Dyson Sphere,5.567700000000001e+30,2.4746,Democracy,50.0,19.556844435089506,22.592830744574787,244375.0
4836a15586,Scientific Valan Union,82ded738f2,Valan,0f24b2ee42,59297022208.56151,9.8274,269343029.81,9,Galactic Civilization,Galactic Energy Grid,5.9137000000000004e+35,2.9772,Federation,50.0,19.989889221074524,56.71882145950124,252725.0
ee951bbfab,Kaelumian Directorate,c6feab7eab,Kaelumian,6f1de1f829,53970527805.91972,8.8816,56581230.25,8,Dyson Swarm Civilization,Dyson Sphere,5.440800000000001e+30,2.4736,Scientific Council,50.0,23.505967585297427,69.55373862496552,348135.0
b2e833d309,Allied Orionoid Systems,35c08c2b5f,Orionoid,79089cb45c,92870589849.93724,9.4509,175221476.63,9,Galactic Civilization,Dyson Sphere,5.72545e+30,2.4758,Scientific Council,11.068907017797498,25.25104115094428,51.59492176274163,210539.0
faf8d4b64a,Solex Directorate,f9490830f4,Solex,f5265c2b85,0.0,6.8466,2193246.3,6,Fusion Civilization,Antimatter,4.423299999999999e+22,1.6646,Collective,0.0,0.0,0.0,33759.0
a500abb373,The Zelari Federation,c7136622aa,Zelari,1b285a426c,20105577104.420326,8.3409,29545405.55,8,Dyson Swarm Civilization,Dyson Swarm,5.17045e+26,2.0714,AI Governance,5.090403681205013,27.20001075308691,59.72272418413933,24363.0
9594053f90,Scientific Galacticite Union,af6251182a,Galacticite,fe7f9bcd40,43981349226.6613,9.0213,67824663.19,9,Galactic Civilization,Dyson Sphere,5.51065e+30,2.4741,Collective,20.165769655403878,47.74809147974609,36.82021720992618,292928.0
22b55b78e2,Unified Omicron-galacticis Council,18f6f957b3,Omicron-galacticis,55d771cd6b,13851894768.552893,10.0073,314774032.34,10,Transcendent Civilization,Galactic Energy Grid,6.0036500000000005e+35,2.9778,Scientific Council,10.0,25.011588368151482,61.76828005635158,195955.0
185a68bac9,Scientific Solari Union,63339d9ca4,Solari,1561d6937a,4964021249.752966,8.8253,53766797.16,8,Dyson Swarm Civilization,Dyson Sphere,5.41265e+30,2.4733,Technocracy,66.24168065428155,23.604049140025737,72.36198889456199,159856.0
c4f121b6c1,Orionian Directorate,cfa89e7186,Orionian,67e993c183,7847323577.935789,6.9647,2429334.27,6,Fusion Civilization,Antimatter,4.4823500000000005e+22,1.6652,Technocracy,62.580814626640795,24.016007788605855,57.18771665028676,99776.0
