civilization_id,name,species,planet_id,tech_level,energy_source,government_type,civilization_age
f8c1278b86,Consolidated Zelis Worlds,"{'species_id': '5ccdfbff52', 'name': 'Zelis', 'planet_id': '7e45451827', 'intelligence': 71.41, 'cooperation': 56.96, 'aggression': 41.4, 'adaptability': 50.11, 'lifespan': 35.41, 'population': 2756758517.0}",7e45451827,91.17,Antimatter,Monarchy,244375.0
4836a15586,Scientific Valan Union,"{'species_id': '82ded738f2', 'name': 'Valan', 'planet_id': '0f24b2ee42', 'intelligence': 77.87, 'cooperation': 52.6, 'aggression': 41.7, 'adaptability': 32.32, 'lifespan': 38.73, 'population': 2579965229.0}",0f24b2ee42,98.01,Dyson Swarm Prototype,AI Governance,252725.0
ee951bbfab,Kaelumian Directorate,"{'species_id': 'c6feab7eab', 'name': 'Kaelumian', 'planet_id': '6f1de1f829', 'intelligence': 77.04, 'cooperation': 49.48, 'aggression': 34.09, 'adaptability': 58.52, 'lifespan': 43.43, 'population': 2451432010.0}",6f1de1f829,87.53,Antimatter,Technocracy,348135.0
b2e833d309,Allied Orionoid Systems,"{'species_id': '35c08c2b5f', 'name': 'Orionoid', 'planet_id': '79089cb45c', 'intelligence': 73.82, 'cooperation': 54.29, 'aggression': 46.53, 'adaptability': 41.71, 'lifespan': 41.14, 'population': 4017110196.0}",79089cb45c,94.13,Antimatter,Scientific Council,210539.0
faf8d4b64a,Solex Directorate,"{'species_id': 'f9490830f4', 'name': 'Solex', 'planet_id': 'f5265c2b85', 'intelligence': 79.15, 'cooperation': 71.25, 'aggression': 44.69, 'adaptability': 47.55, 'lifespan': 53.37, 'population': 7443457581.0}",f5265c2b85,67.51,Fusion,Collective,33759.0
a500abb373,The Zelari Federation,"{'species_id': 'c7136622aa', 'name': 'Zelari', 'planet_id': '1b285a426c', 'intelligence': 74.24, 'cooperation': 67.46, 'aggression': 20.77, 'adaptability': 46.38, 'lifespan': 27.29, 'population': 11916613462.0}",1b285a426c,82.97,Antimatter,AI Governance,24363.0
9594053f90,Scientific Galacticite Union,"{'species_id': 'af6251182a', 'name': 'Galacticite', 'planet_id': 'fe7f9bcd40', 'intelligence': 84.24, 'cooperation': 33.1, 'aggression': 44.89, 'adaptability': 38.87, 'lifespan': 84.57, 'population': 15000000000.0}",fe7f9bcd40,90.02,Antimatter,Collective,292928.0
22b55b78e2,Unified Omicron-galacticis Council,"{'species_id': '18f6f957b3', 'name': 'Omicron-galacticis', 'planet_id': '55d771cd6b', 'intelligence': 80.81, 'cooperation': 48.83, 'aggression': 47.28, 'adaptability': 43.61, 'lifespan': 31.22, 'population': 3522217587.0}",55d771cd6b,100.0,Dyson Swarm Prototype,Scientific Council,195955.0
185a68bac9,Scientific Solari Union,"{'species_id': '63339d9ca4', 'name': 'Solari', 'planet_id': '1561d6937a', 'intelligence': 85.19, 'cooperation': 51.42, 'aggression': 26.22, 'adaptability': 29.81, 'lifespan': 54.79, 'population': 12051066607.0}",1561d6937a,88.06,Antimatter,Technocracy,159856.0
c4f121b6c1,Orionian Directorate,"{'species_id': 'cfa89e7186', 'name': 'Orionian', 'planet_id': '67e993c183', 'intelligence': 75.28, 'cooperation': 45.32, 'aggression': 34.31, 'adaptability': 38.54, 'lifespan': 39.83, 'population': 10396478125.0}",67e993c183,64.36,Fusion,Technocracy,99776.0
