event_id,tick,year,civilization_id,civilization_name,event_type,description
COL-EVT-00001,1,100,927dbfac0b,Scientific Kaelumis Union,First Colony,Scientific Kaelumis Union established colony 'HD 14799-g Science Station' on planet HD 14799-g (score: 57.3).
COL-EVT-00002,1,100,2705d84a32,Unified Vesperari Council,First Colony,Unified Vesperari Council established colony 'Webb-7499-e Science Station' on planet Webb-7499-e (score: 59.7).
COL-EVT-00003,1,100,4c67325ea2,Unified Persean Council,First Colony,Unified Persean Council established colony 'Phi Persei-e Sector' on planet Phi Persei-e (score: 56.7).
COL-EVT-00004,1,100,7c376afd56,The Kaelumis Federation,First Colony,The Kaelumis Federation established colony 'TESS-8623-d Sector' on planet TESS-8623-d (score: 68.2).
COL-EVT-00005,1,100,84a3d643c9,Scientific Orionis Union,First Colony,Scientific Orionis Union established colony 'Scientific Outpost 97' on planet HR 120160-e (score: 47.4).
COL-EVT-00006,1,100,cb312b9d86,Aurelex Directorate,First Colony,Aurelex Directorate established colony 'Aurelex Outpost 73' on planet Kepler-7797-d (score: 55.9).
COL-EVT-00007,1,100,63803c4eb1,Unified Zelari Council,First Colony,Unified Zelari Council established colony 'PSR 133182-d Science Station' on planet PSR 133182-d (score: 63.0).
COL-EVT-00008,1,100,d1ebd8161b,Unified Meran Council,First Colony,Unified Meran Council established colony 'Unified Outpost 51' on planet TESS-1750-d (score: 51.7).
COL-EVT-00009,1,100,f8a4edc83b,Consolidated Xenoid Worlds,First Colony,Consolidated Xenoid Worlds established colony 'HD 212440-e Sector' on planet HD 212440-e (score: 60.6).
COL-EVT-00010,1,100,096fc37df4,Scientific Vesperoid Union,First Colony,Scientific Vesperoid Union established colony 'HD 275033-d Prime' on planet HD 275033-d (score: 67.9).
COL-EVT-00011,1,100,b2e833d309,Allied Orionoid Systems,First Colony,Allied Orionoid Systems established colony 'PSR 64400-d Science Station' on planet PSR 64400-d (score: 65.4).
COL-EVT-00012,1,100,095464621d,Cygnan Commonwealth,First Colony,Cygnan Commonwealth established colony 'Cygnan Colony' on planet Rho Cygni-d (score: 62.3).
COL-EVT-00013,1,100,b28f9ec7d4,Scientific Thranari Union,First Colony,Scientific Thranari Union established colony 'Scientific Colony' on planet HD 50077-e (score: 50.4).
COL-EVT-00014,1,100,b8c054770f,Beta-bulgis Directorate,First Colony,Beta-bulgis Directorate established colony 'Beta Bulge-e Sector' on planet Beta Bulge-e (score: 69.3).
COL-EVT-00015,1,100,8f64eb0a84,Vesperan Commonwealth,First Colony,Vesperan Commonwealth established colony 'Kepler-8079d-f Prime' on planet Kepler-8079d-f (score: 58.0).
COL-EVT-00016,1,100,1b37c066da,Valis Commonwealth,First Colony,Valis Commonwealth established colony 'Valis Colony' on planet PSR 62227-d (score: 65.5).
COL-EVT-00017,1,100,556d6c2378,Meroid Directorate,First Colony,Meroid Directorate established colony 'HIP 76600-d Science Station' on planet HIP 76600-d (score: 49.8).
COL-EVT-00018,1,100,947f74a852,Allied Sagittariite Systems,First Colony,Allied Sagittariite Systems established colony 'Allied Colony' on planet Psi Sagittarii-c (score: 52.7).
COL-EVT-00019,1,100,04b742dd38,The Perseian Federation,First Colony,The Perseian Federation established colony 'Perseian Outpost 23' on planet Psi Persei-c (score: 58.7).
COL-EVT-00020,1,100,13b6f1c19c,Allied Orionite Systems,First Colony,Allied Orionite Systems established colony 'Allied Outpost 94' on planet PSR 104430-f (score: 67.1).
COL-EVT-00021,1,100,5d262aaec3,Consolidated Xenite Worlds,First Colony,Consolidated Xenite Worlds established colony 'TESS-7890-e Prime' on planet TESS-7890-e (score: 52.6).
COL-EVT-00022,1,100,7036dbff3e,Scientific Orionite Union,First Colony,Scientific Orionite Union established colony 'Zeta Orionis-e Science Station' on planet Zeta Orionis-e (score: 58.0).
COL-EVT-00023,1,100,862f6cbc45,Unified Thranan Council,First Colony,Unified Thranan Council established colony 'TESS-945-d Prime' on planet TESS-945-d (score: 59.8).
COL-EVT-00024,1,100,c235dc422c,Scientific Kaeluman Union,First Colony,Scientific Kaeluman Union established colony 'TESS-8033-c Sector' on planet TESS-8033-c (score: 47.1).
COL-EVT-00025,1,100,8d88177d24,Bulgian Directorate,First Colony,Bulgian Directorate established colony 'Alpha Bulge-c Sector' on planet Alpha Bulge-c (score: 57.7).
COL-EVT-00026,1,100,1c4722b997,Unified Orionite Council,First Colony,Unified Orionite Council established colony 'Unified Outpost 50' on planet Nu Orionis-c (score: 59.8).
COL-EVT-00027,1,100,634ad45f7e,Scientific Aurelan Union,First Colony,Scientific Aurelan Union established colony 'Scientific Colony' on planet HD 50077-d (score: 44.0).
COL-EVT-00028,1,100,d07bc4ae63,Scientific Valian Union,First Colony,Scientific Valian Union established colony 'HR 233687-c Excavation' on planet HR 233687-c (score: 71.7).
COL-EVT-00029,1,100,999c5041c4,Scientific Aureliis Union,First Colony,Scientific Aureliis Union established colony 'Aurelia-f Sector' on planet Aurelia-f (score: 53.0).
COL-EVT-00030,1,100,7ba9deb67e,Consolidated Xenoid Worlds,First Colony,Consolidated Xenoid Worlds established colony 'Webb-4746d-d Sector' on planet Webb-4746d-d (score: 63.4).
COL-EVT-00031,1,100,4b4e90bd89,The Meran Federation,First Colony,The Meran Federation established colony 'HR 36296-c Sector' on planet HR 36296-c (score: 63.7).
COL-EVT-00032,1,100,82b29167c3,Galactican Directorate,First Colony,Galactican Directorate established colony 'Chi Galacticis-c Sector' on planet Chi Galacticis-c (score: 53.3).
COL-EVT-00033,1,100,92810d80b3,The Aurelis Federation,First Colony,The Aurelis Federation established colony 'Webb-7499-g Exchange' on planet Webb-7499-g (score: 60.1).
COL-EVT-00034,1,100,71efb681fc,The Aureloid Federation,First Colony,The Aureloid Federation established colony 'Gliese 325.0-c Sector' on planet Gliese 325.0-c (score: 59.5).
COL-EVT-00035,1,100,65154f1c30,Scientific Kaeluman Union,First Colony,Scientific Kaeluman Union established colony 'TESS-7571-d Sector' on planet TESS-7571-d (score: 55.3).
COL-EVT-00036,1,100,15286fa1f5,Consolidated Zelari Worlds,First Colony,Consolidated Zelari Worlds established colony 'Consolidated Colony' on planet Webb-6726b-h (score: 49.5).
COL-EVT-00037,1,100,b7f420628f,Consolidated Iota-perseis Worlds,First Colony,Consolidated Iota-perseis Worlds established colony 'Consolidated Outpost 15' on planet Iota Persei-c (score: 71.1).
COL-EVT-00038,1,100,0fa7096d5a,Zelis Directorate,First Colony,Zelis Directorate established colony 'HR 121153-f Sector' on planet HR 121153-f (score: 58.3).
COL-EVT-00039,1,100,17fee1a6ac,The Thranite Federation,First Colony,The Thranite Federation established colony 'TESS-915-c Prime' on planet TESS-915-c (score: 63.0).
COL-EVT-00040,1,100,6a9427ac16,Consolidated Prometheian Worlds,First Colony,Consolidated Prometheian Worlds established colony 'Prometheus-f Prime' on planet Prometheus-f (score: 73.2).
COL-EVT-00041,2,200,f0ada7121c,Consolidated Solex Worlds,First Colony,Consolidated Solex Worlds established colony 'Webb-6199-g Sector' on planet Webb-6199-g (score: 51.2).
COL-EVT-00042,2,200,82f9ee8fb4,The Valoid Federation,First Colony,The Valoid Federation established colony 'Valoid Outpost 53' on planet Gliese 2.0-b (score: 63.4).
COL-EVT-00043,2,200,e47a782635,The Xi-sagittariis Federation,First Colony,The Xi-sagittariis Federation established colony 'Xi Sagittarii-c Prime' on planet Xi Sagittarii-c (score: 67.9).
COL-EVT-00044,2,200,41a9345e47,The Aurelian Federation,First Colony,The Aurelian Federation established colony 'Aurelian Outpost 67' on planet Webb-8019-f (score: 47.5).
COL-EVT-00045,2,200,609e70586f,Scientific Kaeluman Union,First Colony,Scientific Kaeluman Union established colony 'Gaia-7887-e Sector' on planet Gaia-7887-e (score: 46.5).
COL-EVT-00046,2,200,4c8e6a8540,Allied Bulgan Systems,First Colony,Allied Bulgan Systems established colony 'Chi Bulge-d Prime' on planet Chi Bulge-d (score: 56.0).
COL-EVT-00047,2,200,8e17c1b492,Solex Commonwealth,First Colony,Solex Commonwealth established colony 'Solex Outpost 11' on planet TESS-7730a-c (score: 72.5).
COL-EVT-00048,2,200,37a4cea3d7,Consolidated Solite Worlds,First Colony,Consolidated Solite Worlds established colony 'HIP 262134-e Sector' on planet HIP 262134-e (score: 58.3).
COL-EVT-00049,2,200,f2bbbfc167,Bulgan Commonwealth,First Colony,Bulgan Commonwealth established colony 'Bulgan Outpost 41' on planet Delta Bulge-f (score: 49.1).
COL-EVT-00050,2,200,9891e1dd90,Scientific Kaelumari Union,First Colony,Scientific Kaelumari Union established colony 'TESS-8500-c Sector' on planet TESS-8500-c (score: 67.8).
COL-EVT-00051,2,200,3557fb1c6f,Allied Kaelumex Systems,First Colony,Allied Kaelumex Systems established colony 'Allied Colony' on planet GDE-845-d (score: 67.2).
COL-EVT-00052,2,200,03fca7f787,Perseian Commonwealth,First Colony,Perseian Commonwealth established colony 'Perseian Outpost 82' on planet Chi Persei-e (score: 58.1).
COL-EVT-00053,2,200,14c594f145,Unified Orionian Council,First Colony,Unified Orionian Council established colony 'Unified Outpost 12' on planet Gamma Orionis-e (score: 51.8).
COL-EVT-00054,2,200,dc652af4e1,Cygnan Commonwealth,First Colony,Cygnan Commonwealth established colony 'Cygnan Colony' on planet Sigma Cygni-e (score: 58.3).
COL-EVT-00055,2,200,3a3695c8e9,Consolidated Galactican Worlds,First Colony,Consolidated Galactican Worlds established colony 'Consolidated Outpost 29' on planet Zeta Galacticis-c (score: 69.7).
COL-EVT-00056,2,200,2173a01d64,Allied Elysiian Systems,First Colony,Allied Elysiian Systems established colony 'Elysium-c Prime' on planet Elysium-c (score: 55.7).
COL-EVT-00057,2,200,38a2dd884c,Allied Sagittariian Systems,First Colony,Allied Sagittariian Systems established colony 'Allied Colony' on planet Pi Sagittarii-c (score: 69.3).
COL-EVT-00058,2,200,095464621d,Cygnan Commonwealth,Expansion Boom,Cygnan Commonwealth established colony 'Cygnan Colony' on planet Rho Cygni-f (score: 54.3).
COL-EVT-00059,2,200,094756ff65,Unified Vesperis Council,First Colony,Unified Vesperis Council established colony 'HIP 246403-b Prime' on planet HIP 246403-b (score: 59.6).
COL-EVT-00060,2,200,1c90d82c80,Cygnian Directorate,First Colony,Cygnian Directorate established colony 'Delta Cygni-f Sector' on planet Delta Cygni-f (score: 64.4).
COL-EVT-00061,2,200,4a7ef72f37,The Bulgite Federation,First Colony,The Bulgite Federation established colony 'Mu Bulge-c Sector' on planet Mu Bulge-c (score: 60.3).
COL-EVT-00062,2,200,187eb0978f,Scientific Merite Union,First Colony,Scientific Merite Union established colony 'Scientific Outpost 42' on planet GDE-2341-c (score: 62.2).
COL-EVT-00063,2,200,bc259c8444,Scientific Kaelumian Union,First Colony,Scientific Kaelumian Union established colony 'Scientific Outpost 45' on planet HIP 121095-d (score: 56.7).
COL-EVT-00064,2,200,cd3cb2af45,The Chi-bulgis Federation,First Colony,The Chi-bulgis Federation established colony 'Chi Bulge-c Sector' on planet Chi Bulge-c (score: 58.6).
COL-EVT-00065,2,200,0ad458611c,Unified Orionian Council,First Colony,Unified Orionian Council established colony 'Unified Colony' on planet Tau Orionis-b (score: 55.2).
COL-EVT-00066,2,200,7bf42c3a49,Sagittariite Directorate,First Colony,Sagittariite Directorate established colony 'Theta Sagittarii-c Prime' on planet Theta Sagittarii-c (score: 63.5).
COL-EVT-00067,2,200,5b3c302325,Scientific Bulgian Union,First Colony,Scientific Bulgian Union established colony 'Theta Bulge-f Science Station' on planet Theta Bulge-f (score: 59.7).
COL-EVT-00068,2,200,764f599826,Unified Solite Council,First Colony,Unified Solite Council established colony 'HD 173878-c Sector' on planet HD 173878-c (score: 58.3).
COL-EVT-00069,2,200,176da50470,Unified Mu-perseis Council,First Colony,Unified Mu-perseis Council established colony 'Unified Outpost 57' on planet Mu Persei-c (score: 65.1).
COL-EVT-00070,3,300,b619dd5fb5,Scientific Thranan Union,First Colony,Scientific Thranan Union established colony 'Kepler-7447c-b Science Station' on planet Kepler-7447c-b (score: 50.6).
COL-EVT-00071,3,300,0895acc0af,Sagittarian Directorate,First Colony,Sagittarian Directorate established colony 'Gamma Sagittarii-f Sector' on planet Gamma Sagittarii-f (score: 47.6).
COL-EVT-00072,3,300,adc1c77061,Unified Thranis Council,First Colony,Unified Thranis Council established colony 'HR 175320-c Prime' on planet HR 175320-c (score: 51.7).
COL-EVT-00073,3,300,63803c4eb1,Unified Zelari Council,Expansion Boom,Unified Zelari Council established colony 'PSR 133182-c Sector' on planet PSR 133182-c (score: 59.8).
COL-EVT-00074,3,300,b323933feb,Allied Solian Systems,First Colony,Allied Solian Systems established colony 'Allied Outpost 53' on planet TESS-6922-b (score: 66.8).
COL-EVT-00075,3,300,11c4291fc3,Vesperite Commonwealth,First Colony,Vesperite Commonwealth established colony 'Webb-8019-c Sector' on planet Webb-8019-c (score: 43.7).
COL-EVT-00076,3,300,5a236efd3f,Beta-bulgis Commonwealth,First Colony,Beta-bulgis Commonwealth established colony 'Beta Bulge-f Science Station' on planet Beta Bulge-f (score: 59.4).
COL-EVT-00077,3,300,6c40e5c997,Orionite Directorate,First Colony,Orionite Directorate established colony 'Upsilon Orionis-d Prime' on planet Upsilon Orionis-d (score: 56.2).
