tick,year,bloc_id,bloc_name,bloc_type,member_count,combined_gdp,market_share
1,100,BLOC-01,Centauri Resource Alliance #1,Resource Alliance,10,146206.29,0.0245
1,100,BLOC-02,Centauri Resource Alliance #2,Resource Alliance,8,105254.06,0.0176
1,100,BLOC-03,Centauri Mining Coalition #3,Resource Alliance,7,93197.07,0.0156
1,100,BLOC-04,Centauri Trade Federation #4,Trade Federation,5,48180.62,0.0081
2,200,BLOC-01,Centauri Resource Alliance #1,Resource Alliance,10,102807.98,0.0238
2,200,BLOC-02,Centauri Resource Alliance #2,Resource Alliance,8,75639.57,0.0175
2,200,BLOC-03,Centauri Mining Coalition #3,Resource Alliance,7,68080.15,0.0158
2,200,BLOC-04,Centauri Trade Federation #4,Trade Federation,5,37213.58,0.0086
3,300,BLOC-01,Centauri Resource Alliance #1,Resource Alliance,10,96678.07,0.0231
3,300,BLOC-02,Centauri Resource Alliance #2,Resource Alliance,8,71034.65,0.017
3,300,BLOC-03,Centauri Mining Coalition #3,Resource Alliance,7,66125.56,0.0158
3,300,BLOC-04,Centauri Trade Federation #4,Trade Federation,5,39121.29,0.0094
4,400,BLOC-01,Centauri Resource Alliance #1,Resource Alliance,10,102081.24,0.0228
4,400,BLOC-02,Centauri Resource Alliance #2,Resource Alliance,8,75650.51,0.0169
4,400,BLOC-03,Centauri Mining Coalition #3,Resource Alliance,7,71402.52,0.016
4,400,BLOC-04,Centauri Trade Federation #4,Trade Federation,5,43590.75,0.0097
5,500,BLOC-01,Centauri Resource Alliance #1,Resource Alliance,10,124186.69,0.0221
5,500,BLOC-02,Centauri Resource Alliance #2,Resource Alliance,8,92059.26,0.0164
5,500,BLOC-03,Centauri Mining Coalition #3,Resource Alliance,7,89486.15,0.0159
5,500,BLOC-04,Centauri Trade Federation #4,Trade Federation,5,56338.18,0.01
6,600,BLOC-01,Centauri Resource Alliance #1,Resource Alliance,10,165095.39,0.0218
6,600,BLOC-02,Centauri Resource Alliance #2,Resource Alliance,8,122725.63,0.0162
6,600,BLOC-03,Centauri Mining Coalition #3,Resource Alliance,7,119265.49,0.0157
6,600,BLOC-04,Centauri Trade Federation #4,Trade Federation,5,76249.97,0.01
7,700,BLOC-01,Centauri Resource Alliance #1,Resource Alliance,10,194896.97,0.0216
7,700,BLOC-02,Centauri Resource Alliance #2,Resource Alliance,8,145481.39,0.0162
7,700,BLOC-03,Centauri Mining Coalition #3,Resource Alliance,7,145949.14,0.0162
7,700,BLOC-04,Centauri Trade Federation #4,Trade Federation,5,94906.03,0.0105
8,800,BLOC-01,Centauri Resource Alliance #1,Resource Alliance,10,195408.53,0.0215
8,800,BLOC-02,Centauri Resource Alliance #2,Resource Alliance,8,145484.17,0.016
8,800,BLOC-03,Centauri Mining Coalition #3,Resource Alliance,7,154630.08,0.017
8,800,BLOC-04,Centauri Trade Federation #4,Trade Federation,5,95337.22,0.0105
9,900,BLOC-01,Centauri Resource Alliance #1,Resource Alliance,10,195534.4,0.0215
9,900,BLOC-02,Centauri Resource Alliance #2,Resource Alliance,8,145476.74,0.016
9,900,BLOC-03,Centauri Mining Coalition #3,Resource Alliance,7,154947.26,0.017
9,900,BLOC-04,Centauri Trade Federation #4,Trade Federation,5,95116.28,0.0105
10,1000,BLOC-01,Centauri Resource Alliance #1,Resource Alliance,10,195703.2,0.0215
10,1000,BLOC-02,Centauri Resource Alliance #2,Resource Alliance,8,145447.1,0.016
10,1000,BLOC-03,Centauri Mining Coalition #3,Resource Alliance,7,155048.68,0.017
10,1000,BLOC-04,Centauri Trade Federation #4,Trade Federation,5,95092.12,0.0104
