event_id,tick,year,civilization_id,event_type,description
ECN-EVT-00001,1,100,f8c1278b86,Hyperinflation,Hyperinflation crisis declared in f8c1278b86 as local currency values plummeted by 111.2%.
ECN-EVT-00002,1,100,4836a15586,Hyperinflation,Hyperinflation crisis declared in 4836a15586 as local currency values plummeted by 111.2%.
ECN-EVT-00003,1,100,ee951bbfab,Hyperinflation,Hyperinflation crisis declared in ee951bbfab as local currency values plummeted by 111.0%.
ECN-EVT-00004,1,100,b2e833d309,Hyperinflation,Hyperinflation crisis declared in b2e833d309 as local currency values plummeted by 111.1%.
ECN-EVT-00005,1,100,faf8d4b64a,Golden Age,"faf8d4b64a entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00006,1,100,a500abb373,Hyperinflation,Hyperinflation crisis declared in a500abb373 as local currency values plummeted by 111.2%.
ECN-EVT-00007,1,100,9594053f90,Hyperinflation,Hyperinflation crisis declared in 9594053f90 as local currency values plummeted by 111.2%.
ECN-EVT-00008,1,100,22b55b78e2,Hyperinflation,Hyperinflation crisis declared in 22b55b78e2 as local currency values plummeted by 111.2%.
ECN-EVT-00009,1,100,185a68bac9,Hyperinflation,Hyperinflation crisis declared in 185a68bac9 as local currency values plummeted by 110.4%.
ECN-EVT-00010,1,100,c4f121b6c1,Hyperinflation,Hyperinflation crisis declared in c4f121b6c1 as local currency values plummeted by 111.1%.
ECN-EVT-00011,1,100,70a115d461,Hyperinflation,Hyperinflation crisis declared in 70a115d461 as local currency values plummeted by 111.0%.
ECN-EVT-00012,1,100,26b5626b6c,Hyperinflation,Hyperinflation crisis declared in 26b5626b6c as local currency values plummeted by 111.2%.
ECN-EVT-00013,1,100,8a41c4ac34,Hyperinflation,Hyperinflation crisis declared in 8a41c4ac34 as local currency values plummeted by 111.2%.
ECN-EVT-00014,1,100,15286fa1f5,Hyperinflation,Hyperinflation crisis declared in 15286fa1f5 as local currency values plummeted by 70.8%.
ECN-EVT-00015,1,100,ec5efdeb2d,Golden Age,"ec5efdeb2d entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00016,1,100,2f0954acad,Hyperinflation,Hyperinflation crisis declared in 2f0954acad as local currency values plummeted by 111.2%.
ECN-EVT-00017,1,100,c7c9fca9a1,Hyperinflation,Hyperinflation crisis declared in c7c9fca9a1 as local currency values plummeted by 111.2%.
ECN-EVT-00018,1,100,511ff78315,Hyperinflation,Hyperinflation crisis declared in 511ff78315 as local currency values plummeted by 111.1%.
