empire_id,empire_name,founding_civilization,founding_civilization_id,capital_world,territory_size_ly3,population,power_index,colonies_count,gdp
EMP-001,The Consolidated Consolidated Systems,Consolidated Zelis Worlds,f8c1278b86,Gaia-1954-c,20634564.83,0.0,206.33,0,5000.0
EMP-002,The Consolidated Scientific Systems,Scientific Valan Union,4836a15586,Gaia-1954-d,23282648.66,0.0,224.85,0,5000.0
EMP-003,The Great Kaelumian Imperium,Kaelumian Directorate,ee951bbfab,GDE-7293-c,27547391.28,73144584.0,256.19,2,5000.0
EMP-004,The Great Allied Imperium,Allied Orionoid Systems,b2e833d309,PSR 64400-e,26639353.86,34381110.0,283.36,1,5000.0
EMP-005,The Great Solex Imperium,Solex Directorate,faf8d4b64a,HD 82516-d,3420184.86,0.0,51.33,0,5000.0
EMP-006,The Zelari AI Hegemony,The Zelari Federation,a500abb373,Webb-6470-b,17133355.84,0.0,147.48,0,5000.0
EMP-007,The Great Scientific Imperium,Scientific Galacticite Union,9594053f90,Omicron Galacticis-b,20014367.55,0.0,189.16,0,5000.0
EMP-008,The Great Unified Imperium,Unified Omicron-galacticis Council,22b55b78e2,Omicron Galacticis-c,22751028.58,0.0,177.64,0,5000.0
EMP-009,The Scientific Technocracy,Scientific Solari Union,185a68bac9,HR 220748-b,21264691.25,23075914.0,165.44,1,5000.0
EMP-010,The Orionian Technocracy,Orionian Directorate,c4f121b6c1,Zeta Orionis-c,12539114.39,0.0,105.37,0,5000.0
EMP-011,The Consolidated Technocracy,Consolidated Aurelite Worlds,70a115d461,GDE-6664-e,23764737.21,70249736.0,236.99,3,5000.0
EMP-012,The Scientific Technocracy,Scientific Thranan Union,26b5626b6c,Webb-6726b-f,21892928.95,0.0,176.2,0,5000.0
EMP-013,The Valis AI Hegemony,Valis Directorate,8a41c4ac34,Webb-6726b-g,20075582.95,0.0,167.17,0,5000.0
EMP-014,The Great Consolidated Imperium,Consolidated Zelari Worlds,15286fa1f5,Webb-6726b-i,26765805.32,32908665.0,202.17,1,5000.0
EMP-015,The Bulgite Technocracy,The Bulgite Federation,ec5efdeb2d,Zeta Bulge-b,3739543.92,0.0,54.34,0,5000.0
EMP-016,The Scientific AI Hegemony,Scientific Aethelgardian Union,2f0954acad,Aethelgard-b,21283365.77,0.0,208.19,0,5000.0
EMP-017,The Consolidated Unified Systems,Unified Aethelgardis Council,c7c9fca9a1,Aethelgard-c,23191619.11,0.0,188.96,0,5000.0
EMP-018,The Great Allied Imperium,Allied Zeta-cygnis Systems,511ff78315,Zeta Cygni-b,21895906.41,0.0,168.88,0,5000.0
EMP-019,The Consolidated Technocracy,Consolidated Aureloid Worlds,95cba99a70,Webb-9180d-b,19731335.13,0.0,160.62,0,5000.0
EMP-020,The Great Unified Imperium,Unified Vesperari Council,73cb158d41,Webb-9180d-c,22896303.81,0.0,180.97,0,5000.0
EMP-021,The Unified Technocracy,Unified Merari Council,7419a59432,Webb-9180d-d,23065415.61,0.0,185.15,0,5000.0
EMP-022,The Zylarian Star Empire,Zylarian Directorate,bb1351012f,Webb-9180d-e,22027597.69,0.0,211.3,0,5000.0
EMP-023,The Consolidated Unified Systems,Unified Kaelumoid Council,3be9d94e07,Webb-9180d-f,22757569.54,0.0,177.85,0,5000.0
EMP-024,The Great Solis Imperium,The Solis Federation,033668785c,HD 212440-b,22211819.75,0.0,176.08,0,5000.0
EMP-025,The Consolidated AI Hegemony,Consolidated Xenoid Worlds,f8a4edc83b,HD 212440-c,28351670.96,38457802.0,240.02,1,5000.0
EMP-026,The Great Scientific Imperium,Scientific Xenis Union,d2748466c9,HD 212440-d,24053941.63,0.0,228.97,0,5000.0
EMP-027,The Great Bulgite Imperium,The Bulgite Federation,4a7ef72f37,Mu Bulge-b,20124219.51,31414948.0,193.33,1,5000.0
EMP-028,The Great Unified Imperium,Unified Persean Council,23979e6a05,Chi Persei-f,20582467.3,47187386.0,161.61,1,5000.0
EMP-029,The Consolidated Allied Systems,Allied Chi-perseis Systems,b6e89e8b4d,Chi Persei-g,16595239.91,0.0,155.87,0,5000.0
EMP-030,The Great Sigma-bulgis Imperium,Sigma-bulgis Directorate,243eff68e3,Sigma Bulge-e,26755104.78,34604006.0,202.05,1,5000.0
EMP-031,The Great Persean Imperium,Persean Directorate,9aa2eff7c3,Upsilon Persei-b,8182998.14,0.0,90.92,0,5000.0
EMP-032,The Great Unified Imperium,Unified Zelian Council,5db2756626,Gaia-2971-b,23375318.72,0.0,195.11,0,5000.0
EMP-033,The Great Unified Imperium,Unified Xenoid Council,37df7ce9be,Gaia-2971-c,22586649.53,0.0,174.47,0,5000.0
EMP-034,The Great Meris Imperium,Meris Directorate,63fff6610a,Gaia-2971-d,7382311.04,0.0,84.81,0,5000.0
EMP-035,The Unified Star Empire,Unified Xenoid Council,52d6d92e6b,Gaia-2971-e,20236067.03,0.0,155.59,0,5000.0
EMP-036,The Great Meris Imperium,The Meris Federation,ea27a17ca6,Gaia-2971-f,17911825.64,0.0,144.44,0,5000.0
EMP-037,The Zylarex Star Empire,Zylarex Directorate,962632e3ac,GDE-378-b,23058448.61,0.0,185.29,0,5000.0
EMP-038,The Great Scientific Imperium,Scientific Xenite Union,0bfb7074dd,GDE-378-c,20691332.66,0.0,199.35,0,5000.0
EMP-039,The Scientific Technocracy,Scientific Xenoid Union,626215ebea,GDE-378-d,6776825.63,0.0,80.08,0,5000.0
EMP-040,The Great Aurelite Imperium,Aurelite Commonwealth,d8145cd1f0,GDE-378-e,23129470.19,0.0,187.44,0,5000.0
EMP-041,The Great Unified Imperium,Unified Aurelari Council,7315025cfd,TESS-2949-c,23009789.63,0.0,183.77,0,5000.0
EMP-042,The Consolidated Allied Systems,Allied Zelite Systems,d853839dba,TESS-2949-d,22288183.14,0.0,240.7,0,5000.0
EMP-043,The Great Allied Imperium,Allied Elysiis Systems,c56a0b9792,Elysium-d,13293972.9,0.0,125.26,0,5000.0
EMP-044,The Great Allied Imperium,Allied Elysiian Systems,2173a01d64,Elysium-e,17656819.46,26602010.0,180.77,1,5000.0
