fleet_id,owner_empire_id,fleet_name,fleet_class,fleet_power,mobility,firepower,shield_strength,logistics,current_star_id,status
FLT-00001,f8c1278b86,The Consolidated Consolidated Systems Carrier Force 1,Carrier Fleet,1526.2000057947764,5.0,366.2395759267984,305.9195090518222,35.0,b84e5edc,Idle
FLT-00002,f8c1278b86,The Consolidated Consolidated Systems Assault Force 2,Assault Fleet,651.8392328470684,7.0,164.09101003805517,160.98528437324808,20.0,b84e5edc,Idle
FLT-00003,4836a15586,The Consolidated Scientific Systems Dreadnought Force 1,Dreadnought Fleet,3124.8435466776273,3.0,768.4993640302864,656.3891822594394,50.0,b84e5edc,Idle
FLT-00004,4836a15586,The Consolidated Scientific Systems Titan Force 2,Titan Fleet,6126.040843881759,1.5,1872.7299868828404,1405.0213529560301,80.0,b84e5edc,Idle
FLT-00005,ee951bbfab,The Great Kaelumian Imperium Assault Force 1,Assault Fleet,703.4659004285134,7.0,177.5500206711162,143.73687420594126,20.0,b7b3fe33,Idle
FLT-00006,ee951bbfab,The Great Kaelumian Imperium Carrier Force 2,Carrier Fleet,1299.0582809825717,5.0,335.4501253974653,291.9817105976215,35.0,b7b3fe33,Idle
FLT-00007,b2e833d309,The Great Allied Imperium Carrier Force 1,Carrier Fleet,1479.849269190044,5.0,328.9771647510852,300.8540663048167,35.0,a20cdf05,Idle
FLT-00008,b2e833d309,The Great Allied Imperium Dreadnought Force 2,Dreadnought Fleet,2727.8702476319986,3.0,868.2826248232446,560.4628948424751,50.0,a20cdf05,Idle
FLT-00009,faf8d4b64a,The Great Solex Imperium Scout Force 1,Scout Fleet,87.18216859605334,10.0,16.39689609922368,21.233589392465845,10.0,1fd4797d,Idle
FLT-00010,faf8d4b64a,The Great Solex Imperium Assault Force 2,Assault Fleet,643.6740959608937,7.0,186.63238895443766,148.20457481218804,20.0,1fd4797d,Idle
FLT-00011,a500abb373,The Zelari AI Hegemony Defense Force 1,Defense Fleet,349.66238370778893,3.0,72.5502163378435,129.82368964989078,5.0,8589d2bc,Idle
FLT-00012,a500abb373,The Zelari AI Hegemony Assault Force 2,Assault Fleet,722.7531198095575,7.0,173.2215987392188,150.60204063533433,20.0,8589d2bc,Idle
FLT-00013,9594053f90,The Great Scientific Imperium Dreadnought Force 1,Dreadnought Fleet,2810.912673315316,3.0,929.829386719975,633.0159388033338,50.0,1ffcd021,Idle
FLT-00014,9594053f90,The Great Scientific Imperium Titan Force 2,Titan Fleet,7013.275555555943,1.5,2039.1599915244342,1626.5622705069352,80.0,1ffcd021,Idle
FLT-00015,22b55b78e2,The Great Unified Imperium Defense Force 1,Defense Fleet,328.71880036934016,3.0,72.72363662256862,115.80792793831834,5.0,1ffcd021,Idle
FLT-00016,22b55b78e2,The Great Unified Imperium Carrier Force 2,Carrier Fleet,1335.977728896691,5.0,373.0116256406351,291.4051996016154,35.0,1ffcd021,Idle
FLT-00017,185a68bac9,The Scientific Technocracy Assault Force 1,Assault Fleet,705.9774516421548,7.0,167.07327209909147,159.06590942262122,20.0,e8a1b267,Idle
FLT-00018,185a68bac9,The Scientific Technocracy Defense Force 2,Defense Fleet,384.08208556203624,3.0,84.35591630874653,112.76917635682014,5.0,e8a1b267,Idle
