route_id,empire_id,empire_name,source_star_id,source_star_name,target_star_id,target_star_name,travel_time_years,stops_count,route_type
FTL-RTE-000001,f8c1278b86,The Consolidated Consolidated Systems,b84e5edc,Gaia-1954,b84e5edc,Gaia-1954,0.0,0,Warp Flight
FTL-RTE-000002,f8c1278b86,The Consolidated Consolidated Systems,b84e5edc,Gaia-1954,b7b3fe33,GDE-7293,0.02,1,Warp Flight
FTL-RTE-000003,f8c1278b86,The Consolidated Consolidated Systems,b84e5edc,Gaia-1954,a20cdf05,PSR 64400,0.02,1,Warp Flight
FTL-RTE-000004,f8c1278b86,The Consolidated Consolidated Systems,b84e5edc,Gaia-1954,8589d2bc,Webb-6470,0.02,1,Warp Flight
FTL-RTE-000005,f8c1278b86,The Consolidated Consolidated Systems,b84e5edc,Gaia-1954,1ffcd021,Omicron Galacticis,0.02,1,Warp Flight
FTL-RTE-000006,f8c1278b86,The Consolidated Consolidated Systems,b84e5edc,Gaia-1954,1ffcd021,Omicron Galacticis,0.02,1,Warp Flight
FTL-RTE-000007,f8c1278b86,The Consolidated Consolidated Systems,b84e5edc,Gaia-1954,e8a1b267,HR 220748,0.02,1,Warp Flight
FTL-RTE-000008,f8c1278b86,The Consolidated Consolidated Systems,b84e5edc,Gaia-1954,ee503b26,Zeta Orionis,0.02,1,Warp Flight
FTL-RTE-000009,f8c1278b86,The Consolidated Consolidated Systems,b84e5edc,Gaia-1954,e24dc40c,GDE-6664,0.02,1,Warp Flight
FTL-RTE-000010,f8c1278b86,The Consolidated Consolidated Systems,b84e5edc,Gaia-1954,db74cbd4,Webb-6726b,0.02,1,Warp Flight
FTL-RTE-000011,f8c1278b86,The Consolidated Consolidated Systems,b84e5edc,Gaia-1954,db74cbd4,Webb-6726b,0.02,1,Warp Flight
FTL-RTE-000012,f8c1278b86,The Consolidated Consolidated Systems,b84e5edc,Gaia-1954,db74cbd4,Webb-6726b,0.02,1,Warp Flight
FTL-RTE-000013,f8c1278b86,The Consolidated Consolidated Systems,b84e5edc,Gaia-1954,16ea4658,Zeta Bulge,0.02,1,Warp Flight
