gdp_rank,civilization_id,empire_name,gdp
1,f8c1278b86,The Consolidated Consolidated Systems,5000.0
2,02b9381952,The Aurelian Technocracy,5000.0
3,7fdb421436,The Great Consolidated Imperium,5000.0
4,c45231c414,The Scientific Technocracy,5000.0
5,2c89a9e0dc,The Great Scientific Imperium,5000.0
6,27d9c8dc46,The Perseian AI Hegemony,5000.0
7,a9283be55d,The Consolidated Epsilon-perseis Systems,5000.0
8,f94aaeed85,The Great Allied Imperium,5000.0
9,a4eac32597,The Scientific Technocracy,5000.0
10,2d148d0e47,The Allied Technocracy,5000.0
11,52be76d999,The Great Zelian Imperium,5000.0
12,15c488fdb9,The Great Unified Imperium,5000.0
13,35e0e185b7,The Great Scientific Imperium,5000.0
14,8e17c1b492,The Solex Star Empire,5000.0
15,9eeb4737e9,The Unified Technocracy,5000.0
16,1a2a63b5eb,The Great Allied Imperium,5000.0
17,b7f420628f,The Great Consolidated Imperium,5000.0
18,cc71651dca,The Great Unified Imperium,5000.0
19,5d94c085f5,The Allied Technocracy,5000.0
20,5087e1422a,The Unified Technocracy,5000.0
21,9891e1dd90,The Great Scientific Imperium,5000.0
22,cbdac2fac3,The Scientific Technocracy,5000.0
23,82b29167c3,The Great Galactican Imperium,5000.0
24,6edc6616b2,The Great Scientific Imperium,5000.0
25,41a9345e47,The Aurelian Star Empire,5000.0
26,c8c30fa0a1,The Great Orionan Imperium,5000.0
27,11c4291fc3,The Vesperite AI Hegemony,5000.0
28,41e5776038,The Great Unified Imperium,5000.0
29,762d1b3438,The Consolidated Unified Systems,5000.0
30,b323933feb,The Allied Star Empire,5000.0
31,c5f014b287,The Bulgan Technocracy,5000.0
32,8d88177d24,The Bulgian Star Empire,5000.0
33,24e153416d,The Unified Star Empire,5000.0
34,dc0074adc3,The Great Unified Imperium,5000.0
35,e976b29c9d,The Scientific Technocracy,5000.0
36,2320636026,The Unified Technocracy,5000.0
37,2a8b6fc81d,The Unified Technocracy,5000.0
38,bee1d78260,The Zylarian Technocracy,5000.0
39,e13216033f,The Great Meroid Imperium,5000.0
40,5573af18db,The Great Merian Imperium,5000.0
41,de8a7cab3b,The Unified Star Empire,5000.0
42,ebda9e7b67,The Solite Technocracy,5000.0
43,fadaa4a404,The Great Valian Imperium,5000.0
44,eacab5ee97,The Great Thranan Imperium,5000.0
45,38ade68c1e,The Great Scientific Imperium,5000.0
46,e6f9f9e411,The Great Unified Imperium,5000.0
47,e1c4b2ed14,The Scientific Technocracy,5000.0
48,65154f1c30,The Great Scientific Imperium,5000.0
49,8c80ad65b6,The Orionex AI Hegemony,5000.0
50,f7a8fcf1b2,The Scientific Technocracy,5000.0
51,fce0550f04,The Unified Technocracy,5000.0
52,354b63d6d6,The Consolidated Scientific Systems,5000.0
53,ecbe2dc98a,The Consolidated Zelari Systems,5000.0
54,f1337406a3,The Great Thranan Imperium,5000.0
55,d427d38a9f,The Great Unified Imperium,5000.0
56,57f00e3f50,The Unified AI Hegemony,5000.0
57,189d8d8d1b,The Valite Technocracy,5000.0
58,0187c7d64a,The Vesperan Technocracy,5000.0
59,a568c633c8,The Aurelari Technocracy,5000.0
60,111ab1a74e,The Consolidated Unified Systems,5000.0
61,c59e7444f5,The Meran Technocracy,5000.0
62,c87f4b2d09,The Great Consolidated Imperium,5000.0
63,d07bc4ae63,The Great Scientific Imperium,5000.0
64,53856bd8ca,The Allied Technocracy,5000.0
65,20dcee6871,The Unified Technocracy,5000.0
66,63803c4eb1,The Unified Technocracy,5000.0
67,cd01ef6fd0,The Scientific Technocracy,5000.0
68,3779c3fe76,The Unified AI Hegemony,5000.0
69,55c2a4dc5e,The Thranari Technocracy,5000.0
70,afc6771a1e,The Great Unified Imperium,5000.0
71,12f8de3472,The Thranari Technocracy,5000.0
72,9d449a31b9,The Great Consolidated Imperium,5000.0
73,c98968025a,The Consolidated Orionan Systems,5000.0
74,7036dbff3e,The Great Scientific Imperium,5000.0
75,9696ce2491,The Scientific Technocracy,5000.0
76,75912c8e4c,The Great Kaelumari Imperium,5000.0
77,8196db66b3,The Scientific AI Hegemony,5000.0
78,634ad45f7e,The Great Scientific Imperium,5000.0
79,b28f9ec7d4,The Scientific Technocracy,5000.0
80,1e3994853e,The Consolidated Star Empire,5000.0
81,62a7129a59,The Unified AI Hegemony,5000.0
82,c4d87c45ee,The Great Unified Imperium,5000.0
83,2d7a6c7193,The Unified AI Hegemony,5000.0
84,ed8eb43829,The Omega-bulgis AI Hegemony,5000.0
85,b4e38b5ba0,The Consolidated Scientific Systems,5000.0
86,fc41667c54,The Kaeluman AI Hegemony,5000.0
87,bc259c8444,The Scientific AI Hegemony,5000.0
88,ee6f8a466e,The Cygnian Technocracy,5000.0
89,e1017ed35e,The Great Cygnan Imperium,5000.0
90,da38a63176,The Great Unified Imperium,5000.0
91,f004cb791e,The Scientific Technocracy,5000.0
92,8f64eb0a84,The Great Vesperan Imperium,5000.0
93,0ddd78edbb,The Consolidated Delta-bulgis Systems,5000.0
94,dbf06f7273,The Orionite AI Hegemony,5000.0
95,7135e43d15,The Consolidated Consolidated Systems,5000.0
96,785ce4730c,The Consolidated Unified Systems,5000.0
97,7ba9deb67e,The Great Consolidated Imperium,5000.0
98,340ef3ab81,The Consolidated Thranari Systems,5000.0
99,4164b650a3,The Consolidated Unified Systems,5000.0
100,a7f6005fd2,The Consolidated Meroid Systems,5000.0
101,f27ca4fefa,The Great Scientific Imperium,5000.0
102,df2f64c1a1,The Consolidated Unified Systems,5000.0
103,931aa9655e,The Orionite Technocracy,5000.0
104,adc1c77061,The Great Unified Imperium,5000.0
105,d7ec4d3018,The Thranan Technocracy,5000.0
106,28d83c4b42,The Consolidated Scientific Systems,5000.0
107,15955262e1,The Aurelian AI Hegemony,5000.0
108,f929aa33ac,The Bulgian Star Empire,5000.0
109,f2bbbfc167,The Great Bulgan Imperium,5000.0
110,73573955bb,The Orionite Technocracy,5000.0
111,db6da7e17a,The Great Orionis Imperium,5000.0
112,5d262aaec3,The Consolidated AI Hegemony,5000.0
113,cd3cb2af45,The Consolidated Chi-bulgis Systems,5000.0
114,dffeed89fb,The Consolidated Chi-bulgis Systems,5000.0
115,66d46fcd47,The Consolidated Consolidated Systems,5000.0
116,17fee1a6ac,The Thranite Star Empire,5000.0
117,373ea01e5c,The Consolidated Technocracy,5000.0
118,7dc225fd37,The Consolidated Technocracy,5000.0
119,c3662e3808,The Unified Technocracy,5000.0
120,303a3df484,The Unified AI Hegemony,5000.0
121,08caaac3af,The Unified AI Hegemony,5000.0
122,4836a15586,The Consolidated Scientific Systems,5000.0
123,0ad458611c,The Great Unified Imperium,5000.0
124,c1cc584fd5,The Great Unified Imperium,5000.0
125,2ed96a351c,The Unified Technocracy,5000.0
126,83775e646f,The Consolidated Consolidated Systems,5000.0
127,31aeef2350,The Scientific Technocracy,5000.0
128,f0f8b2423b,The Great Xenex Imperium,5000.0
129,8e65d7f5b1,The Great Scientific Imperium,5000.0
130,927dbfac0b,The Scientific Technocracy,5000.0
131,83c39baf65,The Great Zylarite Imperium,5000.0
132,764f599826,The Great Unified Imperium,5000.0
133,4b4e90bd89,The Meran AI Hegemony,5000.0
134,3aa8ce54ee,The Great Allied Imperium,5000.0
135,b9c3618013,The Great Unified Imperium,5000.0
136,792f609a6f,The Great Unified Imperium,5000.0
137,b2c9872c2d,The Great Unified Imperium,5000.0
138,e00bc2a5e5,The Thranite Technocracy,5000.0
139,467216187a,The Allied Star Empire,5000.0
140,57733c8324,The Scientific Technocracy,5000.0
141,37a4cea3d7,The Consolidated Technocracy,5000.0
142,c3b1779520,The Aurelis AI Hegemony,5000.0
143,7bf42c3a49,The Sagittariite Technocracy,5000.0
144,0cb785b3d6,The Great Kaelumite Imperium,5000.0
145,7c376afd56,The Kaelumis Technocracy,5000.0
146,b9ec32251d,The Allied Technocracy,5000.0
147,7e5521abbb,The Scientific Technocracy,5000.0
148,92810d80b3,The Aurelis Technocracy,5000.0
149,2705d84a32,The Unified AI Hegemony,5000.0
150,e47a782635,The Consolidated Xi-sagittariis Systems,5000.0
151,11452e96e6,The Great Scientific Imperium,5000.0
152,80ce70725d,The Scientific Technocracy,5000.0
153,75447b1ce9,The Great Zylarian Imperium,5000.0
154,28f3b831a2,The Scientific Technocracy,5000.0
155,37270686ec,The Scientific Technocracy,5000.0
156,4c224c8349,The Vesperari Technocracy,5000.0
157,85aec51e58,The Great Consolidated Imperium,5000.0
158,f83f785370,The Great Consolidated Imperium,5000.0
159,176da50470,The Consolidated Unified Systems,5000.0
160,f7ed0ea8ba,The Consolidated Thranari Systems,5000.0
161,e905d91038,The Consolidated Allied Systems,5000.0
162,15474381ae,The Great Scientific Imperium,5000.0
163,123f4d1fb7,The Aurelian Technocracy,5000.0
164,3c04f1e4d3,The Great Scientific Imperium,5000.0
165,f03d90fb8f,The Great Thranite Imperium,5000.0
166,20af608f42,The Consolidated Consolidated Systems,5000.0
167,7c40c9ebf8,The Consolidated Scientific Systems,5000.0
168,f61290c372,The Consolidated Scientific Systems,5000.0
169,b6d872712f,The Scientific Technocracy,5000.0
170,18daa88e4f,The Great Scientific Imperium,5000.0
171,8bc980ecf5,The Unified Star Empire,5000.0
172,0a6e8b3547,The Nu-cygnis Star Empire,5000.0
173,822326926a,The Unified Technocracy,5000.0
174,5fec320399,The Unified Technocracy,5000.0
175,8a78a0e229,The Great Unified Imperium,5000.0
176,4bf29f7756,The Scientific Technocracy,5000.0
177,38d523ac80,The Consolidated Scientific Systems,5000.0
178,ee9099d9b7,The Vesperan Technocracy,5000.0
179,13b6f1c19c,The Allied Technocracy,5000.0
180,71efb681fc,The Aureloid AI Hegemony,5000.0
181,182edcdd37,The Aurelan Star Empire,5000.0
182,575810e85b,The Great Scientific Imperium,5000.0
183,459f704847,The Thranari Technocracy,5000.0
184,8478dfd6f7,The Consolidated Merari Systems,5000.0
185,1a67be5b7f,The Scientific Technocracy,5000.0
186,3c196b299c,The Great Scientific Imperium,5000.0
187,0fa7096d5a,The Consolidated Zelis Systems,5000.0
188,3a375c2f6d,The Scientific AI Hegemony,5000.0
189,43cb04ad80,The Xenoid Technocracy,5000.0
190,b1f20b8a8c,The Aurelan Technocracy,5000.0
191,ed45fe3a8d,The Great Vesperari Imperium,5000.0
192,2c64149009,The Unified AI Hegemony,5000.0
193,5d6505f12a,The Great Unified Imperium,5000.0
194,28728de334,The Scientific Technocracy,5000.0
195,b12b67a0db,The Unified Technocracy,5000.0
196,6f1e390274,The Kaelumis AI Hegemony,5000.0
197,bbf8578e8c,The Consolidated Unified Systems,5000.0
198,9883f23173,The Great Consolidated Imperium,5000.0
199,28100766c8,The Consolidated Bulgite Systems,5000.0
200,f9c2058d1a,The Zylarian AI Hegemony,5000.0
201,2e4e7545f5,The Great Unified Imperium,5000.0
202,7ec564c9db,The Scientific Technocracy,5000.0
203,950050e41a,The Great Zylarite Imperium,5000.0
