rank,empire_name,influence_score,lifespan_rank,historical_rank
1,The Great Unified Imperium,69192.0,1,1
2,The Great Scientific Imperium,56772.0,2,2
3,The Scientific Technocracy,55297.0,3,3
4,The Unified Technocracy,42244.0,4,4
5,The Consolidated Unified Systems,29061.0,5,5
6,The Great Allied Imperium,23574.0,6,6
7,The Great Consolidated Imperium,21473.0,7,7
8,The Unified AI Hegemony,20559.0,8,8
9,The Consolidated Scientific Systems,18266.0,9,9
10,The Scientific AI Hegemony,17663.0,10,10
11,The Consolidated Consolidated Systems,14716.0,11,11
12,The Unified Star Empire,13013.0,12,12
13,The Allied Technocracy,12839.0,13,13
14,The Consolidated Technocracy,11443.0,14,14
15,The Consolidated Star Empire,9829.0,15,15
16,The Consolidated Allied Systems,9132.0,16,16
17,The Allied Star Empire,6925.0,17,17
18,The Great Cygnan Imperium,4597.0,18,18
19,The Consolidated Chi-bulgis Systems,4456.0,19,19
20,The Thranari Technocracy,4384.0,20,20
21,The Orionite Technocracy,4338.0,21,21
22,The Great Galactican Imperium,4143.0,22,22
23,The Aurelian Technocracy,3763.0,23,23
24,The Aurelari Technocracy,3745.0,24,24
25,The Great Meris Imperium,3625.0,25,25
26,The Great Kaelumian Imperium,3524.0,26,26
27,The Kaelumis AI Hegemony,3309.0,27,27
28,The Great Meran Imperium,3281.0,28,28
29,The Consolidated Thranari Systems,3278.0,29,29
30,The Great Thranan Imperium,3231.0,30,30
31,The Consolidated Perseian Systems,3222.0,31,31
32,The Orionian Technocracy,3150.0,32,32
33,The Consolidated AI Hegemony,3150.0,33,33
34,The Cygnan Technocracy,3133.0,34,34
35,The Consolidated Bulgite Systems,3102.0,35,35
36,The Xenan Technocracy,3078.0,36,36
37,The Consolidated Zelis Systems,3021.0,37,37
38,The Orionite AI Hegemony,3009.0,38,38
39,The Zylarian AI Hegemony,2997.0,39,39
40,The Great Zylarite Imperium,2973.0,40,40
41,The Great Zelex Imperium,2962.0,41,41
42,The Great Bulgite Imperium,2950.0,42,42
43,The Great Cygnite Imperium,2947.0,43,43
44,The Kaelumis Technocracy,2909.0,44,44
45,The Bulgite Technocracy,2889.0,45,45
46,The Aurelian Star Empire,2883.0,46,46
47,The Scientific Star Empire,2842.0,47,47
48,The Sigma-orionis Star Empire,2842.0,48,48
49,The Bulgian Star Empire,2807.0,49,49
50,The Cygnian Technocracy,2742.0,50,50
51,The Great Orionian Imperium,2652.0,51,51
52,The Vesperan Technocracy,2646.0,52,52
53,The Kaeluman AI Hegemony,2378.0,53,53
54,The Solari Technocracy,2328.0,54,54
55,The Solari Star Empire,2171.0,55,55
56,The Aurelan Technocracy,2079.0,56,56
57,The Valite Technocracy,2066.0,57,57
58,The Great Bulgan Imperium,2064.0,58,58
59,The Zelian AI Hegemony,2061.0,59,59
60,The Solite Technocracy,2041.0,60,60
61,The Great Sigma-bulgis Imperium,2027.0,61,61
62,The Consolidated Gaeian Systems,2022.0,62,62
63,The Perseite AI Hegemony,1983.0,63,63
64,The Great Xenoid Imperium,1969.0,64,64
65,The Thranan Technocracy,1964.0,65,65
66,The Great Persean Imperium,1914.0,66,66
67,The Aurelan Star Empire,1898.0,67,67
68,The Gamma-galacticis Technocracy,1895.0,68,68
69,The Aurelis AI Hegemony,1888.0,69,69
70,The Meran AI Hegemony,1868.0,70,70
71,The Zylarian Technocracy,1867.0,71,71
72,The Consolidated Epsilon-perseis Systems,1862.0,72,72
73,The Great Tau-galacticis Imperium,1819.0,73,73
