lane_id,lane_type,source_star_id,target_star_id,route_length_ly,traffic_index,economic_value,security_level
LAN-00001,Military Corridor,1212d714,2e010e14,1009.45,487.27,487.27,0.983
LAN-00002,Hyperlane Route,1212d714,97cabe85,1370.11,392.8,471.36,0.71
LAN-00003,Hyperlane Route,1212d714,3e340926,1593.12,162.41,194.89,0.555
LAN-00004,Hyperlane Route,473dea70,213b5d5e,1125.91,123.23,147.88,0.803
LAN-00005,Hyperlane Route,473dea70,87c8e661,1159.54,340.45,408.54,0.748
LAN-00006,Hyperlane Route,473dea70,c6de0b3f,1401.99,108.23,129.88,0.839
LAN-00007,Military Corridor,26815867,09f83e94,301.05,716.22,716.22,0.88
LAN-00008,Hyperlane Route,26815867,15d7bd9d,334.14,172.73,207.28,0.564
LAN-00009,Hyperlane Route,26815867,d7d8cf00,542.44,221.7,266.04,0.684
LAN-00010,Hyperlane Route,8f82d3b5,1a5aea24,996.04,272.78,327.33,0.602
LAN-00011,Hyperlane Route,8f82d3b5,362c4daa,1104.61,344.74,413.69,0.549
LAN-00012,Hyperlane Route,8f82d3b5,6653749b,1337.27,216.86,260.23,0.628
LAN-00013,Hyperlane Route,b84e5edc,d7048c10,919.74,282.43,338.91,0.775
LAN-00014,Hyperlane Route,b84e5edc,6856e7d8,988.74,179.87,215.84,0.68
LAN-00015,Hyperlane Route,b84e5edc,5329a15a,1025.13,336.97,404.36,0.516
LAN-00016,Hyperlane Route,b7b3fe33,0fe5f7e9,1181.32,343.02,411.62,0.56
LAN-00017,Hyperlane Route,b7b3fe33,d30e3d14,1559.53,126.02,151.22,0.832
LAN-00018,Hyperlane Route,7845146e,74ba6a6c,1517.4,486.25,583.5,0.783
LAN-00019,Hyperlane Route,7845146e,85aca559,1558.41,221.85,266.21,0.534
LAN-00020,Hyperlane Route,7845146e,b7d66c4b,1758.78,373.69,448.43,0.654
LAN-00021,Hyperlane Route,042ce967,7f51e176,1127.17,148.82,178.58,0.673
LAN-00022,Hyperlane Route,042ce967,683712a6,1334.07,113.76,136.51,0.818
LAN-00023,Hyperlane Route,042ce967,c0f265f3,1650.62,203.51,244.21,0.732
LAN-00024,Hyperlane Route,b2056bd6,598e4966,1042.46,224.68,269.62,0.682
LAN-00025,Hyperlane Route,b2056bd6,29baa1fe,1818.13,318.68,382.42,0.565
LAN-00026,Hyperlane Route,59f5e50e,e80c473b,1524.22,487.83,585.4,0.771
LAN-00027,Hyperlane Route,59f5e50e,8619c625,1856.02,475.8,570.96,0.813
LAN-00028,Hyperlane Route,1bf94b9c,dc65b160,140.53,339.16,406.99,0.823
LAN-00029,Hyperlane Route,1bf94b9c,d819aef8,177.62,135.4,162.48,0.569
LAN-00030,Hyperlane Route,1bf94b9c,41cbbfa3,1004.09,118.09,141.71,0.614
LAN-00031,Hyperlane Route,850c3810,55c5fbe5,1424.29,255.47,306.57,0.595
LAN-00032,Hyperlane Route,850c3810,d2fe295c,1709.93,431.5,517.79,0.625
LAN-00033,Hyperlane Route,79de99a2,13c5f9fc,1258.24,212.37,254.85,0.69
LAN-00034,Hyperlane Route,79de99a2,002e0283,1298.17,156.37,187.64,0.781
LAN-00035,Hyperlane Route,683712a6,7f51e176,1831.06,129.82,155.78,0.845
LAN-00036,Military Corridor,683712a6,0d0603a9,1897.46,686.12,686.12,0.878
LAN-00037,Military Corridor,8589d2bc,c40db321,476.73,302.76,302.76,0.964
LAN-00038,Military Corridor,8589d2bc,3c2e37c0,634.67,653.43,653.43,0.952
LAN-00039,Military Corridor,8589d2bc,a9d80bfd,894.47,685.64,685.64,0.86
LAN-00040,Hyperlane Route,1ffcd021,5e2afd48,1124.69,243.39,292.06,0.541
LAN-00041,Trade Artery,1ffcd021,6cd46a40,1488.67,1363.1,3407.76,0.912
LAN-00042,Hyperlane Route,2a478f10,61da630c,1409.08,232.36,278.83,0.522
LAN-00043,Hyperlane Route,2a478f10,259a2489,1425.14,224.39,269.27,0.614
LAN-00044,Hyperlane Route,2a478f10,0597c038,1703.16,391.84,470.21,0.723
LAN-00045,Hyperlane Route,0fe5f7e9,d30e3d14,1283.36,454.89,545.86,0.665
LAN-00046,Hyperlane Route,0fe5f7e9,44ebb476,1341.35,147.84,177.41,0.75
LAN-00047,Hyperlane Route,e8a1b267,6c4e4824,690.08,404.31,485.18,0.696
LAN-00048,Trade Artery,e8a1b267,94bfa287,1111.55,1270.97,3177.42,0.889
LAN-00049,Hyperlane Route,e8a1b267,4e1371de,1940.34,309.09,370.91,0.65
LAN-00050,Hyperlane Route,9429fae3,731fdccc,554.77,110.17,132.2,0.538
LAN-00051,Hyperlane Route,9429fae3,3a7bc0a1,787.94,112.57,135.09,0.723
LAN-00052,Hyperlane Route,9429fae3,b7c960e0,1390.61,225.74,270.89,0.678
LAN-00053,Hyperlane Route,ebd6dd77,6bbf77b5,1361.62,463.03,555.63,0.587
LAN-00054,Hyperlane Route,ebd6dd77,f549dffa,1706.29,264.15,316.98,0.764
LAN-00055,Hyperlane Route,ebd6dd77,d2587cf7,1721.0,191.52,229.82,0.527
LAN-00056,Hyperlane Route,4928468b,0f3b2aa7,884.75,215.9,259.08,0.556
LAN-00057,Hyperlane Route,4928468b,1fa74e2c,1460.98,471.88,566.25,0.783
LAN-00058,Hyperlane Route,4928468b,d2721cee,1575.91,353.36,424.03,0.805
LAN-00059,Hyperlane Route,ee503b26,ab5f4c91,1152.72,421.47,505.76,0.565
LAN-00060,Trade Artery,ee503b26,dc600992,1553.56,1392.56,3481.4,0.897
LAN-00061,Hyperlane Route,ee503b26,3bb488d9,1560.24,422.98,507.57,0.814
LAN-00062,Hyperlane Route,a5aa5b1a,f8f7f09e,1082.0,227.2,272.64,0.539
LAN-00063,Hyperlane Route,a5aa5b1a,d34f2273,1134.25,191.17,229.41,0.649
LAN-00064,Hyperlane Route,a5aa5b1a,92ad9b56,1490.97,427.21,512.65,0.801
LAN-00065,Hyperlane Route,f8c6eeef,250f91a5,611.44,102.78,123.34,0.679
LAN-00066,Hyperlane Route,f8c6eeef,a6e30c3a,1566.33,266.96,320.36,0.578
LAN-00067,Hyperlane Route,f8c6eeef,de38b088,1862.1,147.95,177.54,0.618
LAN-00068,Hyperlane Route,3345c976,b7608074,1268.6,477.16,572.6,0.613
LAN-00069,Hyperlane Route,6c9a2d21,7890837c,1112.83,307.52,369.02,0.746
LAN-00070,Hyperlane Route,6c9a2d21,46e6691a,1852.79,245.45,294.54,0.84
LAN-00071,Hyperlane Route,786ed7da,6071d019,1091.62,484.98,581.97,0.588
LAN-00072,Hyperlane Route,786ed7da,50580b5b,1699.32,298.9,358.68,0.605
LAN-00073,Hyperlane Route,786ed7da,0103b4da,1979.04,213.94,256.72,0.513
LAN-00074,Hyperlane Route,bc8b8122,4d9a3ec0,922.15,343.83,412.59,0.676
LAN-00075,Hyperlane Route,bc8b8122,86262b1a,1175.6,120.59,144.71,0.598
LAN-00076,Hyperlane Route,bc8b8122,8ce2a06e,1344.89,463.31,555.97,0.584
LAN-00077,Hyperlane Route,6473ca1f,a98bf147,1654.03,157.96,189.55,0.671
LAN-00078,Hyperlane Route,f5086a77,fc890aa7,294.46,494.26,593.11,0.585
LAN-00079,Hyperlane Route,f5086a77,43c54e7c,1191.96,368.85,442.63,0.767
LAN-00080,Hyperlane Route,f5086a77,61bec44a,1243.12,195.06,234.07,0.755
LAN-00081,Hyperlane Route,1da6419e,8a275897,1459.98,247.11,296.54,0.721
LAN-00082,Hyperlane Route,1da6419e,b03c9a63,1523.91,353.41,424.09,0.688
LAN-00083,Hyperlane Route,1da6419e,b8cb383f,1996.08,136.12,163.34,0.792
LAN-00084,Hyperlane Route,e24dc40c,9396027d,1114.98,228.31,273.97,0.565
LAN-00085,Hyperlane Route,e24dc40c,ead7b9cf,1364.74,116.31,139.57,0.707
LAN-00086,Trade Artery,e24dc40c,017957c7,1516.61,1177.56,2943.91,0.803
LAN-00087,Military Corridor,2f81b056,bf8912d1,1317.65,556.05,556.05,0.882
LAN-00088,Hyperlane Route,2f81b056,936c287f,1612.0,358.07,429.68,0.561
LAN-00089,Hyperlane Route,65140e7f,a64f1752,952.53,376.38,451.65,0.635
LAN-00090,Hyperlane Route,65140e7f,02143620,1147.64,474.69,569.63,0.548
LAN-00091,Hyperlane Route,65140e7f,ea34b446,1206.07,236.43,283.71,0.54
LAN-00092,Hyperlane Route,c2048382,cd4e2500,988.07,469.88,563.85,0.807
LAN-00093,Hyperlane Route,c2048382,c7017b6e,1149.51,203.18,243.81,0.731
LAN-00094,Hyperlane Route,c2048382,d438f44d,1405.85,426.89,512.27,0.694
LAN-00095,Military Corridor,db74cbd4,465500fc,1187.65,564.83,564.83,0.884
LAN-00096,Military Corridor,db74cbd4,453749f1,1433.6,346.55,346.55,0.976
LAN-00097,Trade Artery,db74cbd4,a36c0a0c,1670.66,1400.42,3501.05,0.914
LAN-00098,Military Corridor,f37f6bfb,78111034,1011.11,469.51,469.51,0.899
LAN-00099,Military Corridor,f37f6bfb,af669957,1484.46,662.98,662.98,0.976
LAN-00100,Hyperlane Route,90b67f0c,abf1d9c6,1158.56,454.83,545.8,0.773
LAN-00101,Military Corridor,90b67f0c,0b5f3c94,1214.92,621.02,621.02,0.862
LAN-00102,Hyperlane Route,90b67f0c,0ba83e15,1256.57,164.65,197.58,0.814
LAN-00103,Hyperlane Route,d2721cee,1fa74e2c,1795.68,342.57,411.09,0.503
LAN-00104,Hyperlane Route,d2721cee,b7d01f01,1898.5,140.59,168.71,0.732
LAN-00105,Hyperlane Route,81ec4b80,52fb528a,1825.73,102.02,122.43,0.556
