gate_id,gate_type,star_id,construction_cost,energy_usage,throughput,connected_count,owner_empire
GAT-0001,Quantum Relay Gate,b84e5edc,8000.0,400.0,10000.0,206,f8c1278b86
GAT-0002,Quantum Relay Gate,b7b3fe33,8000.0,400.0,10000.0,206,ee951bbfab
GAT-0003,Quantum Relay Gate,a20cdf05,8000.0,400.0,10000.0,206,b2e833d309
GAT-0004,Empire Gate,1fd4797d,3000.0,150.0,2500.0,0,faf8d4b64a
GAT-0005,Galactic Gate,8589d2bc,5000.0,250.0,5000.0,206,a500abb373
GAT-0006,Quantum Relay Gate,1ffcd021,8000.0,400.0,10000.0,206,9594053f90
GAT-0007,Quantum Relay Gate,e8a1b267,8000.0,400.0,10000.0,206,185a68bac9
GAT-0008,Galactic Gate,ee503b26,5000.0,250.0,5000.0,206,c4f121b6c1
GAT-0009,Galactic Gate,e24dc40c,5000.0,250.0,5000.0,206,70a115d461
GAT-0010,Quantum Relay Gate,db74cbd4,8000.0,400.0,10000.0,206,26b5626b6c
GAT-0011,Galactic Gate,16ea4658,5000.0,250.0,5000.0,206,ec5efdeb2d
GAT-0012,Quantum Relay Gate,db8fee6b,8000.0,400.0,10000.0,206,2f0954acad
GAT-0013,Quantum Relay Gate,2b6f2de2,8000.0,400.0,10000.0,206,511ff78315
GAT-0014,Quantum Relay Gate,368a8d7b,8000.0,400.0,10000.0,206,95cba99a70
GAT-0015,Quantum Relay Gate,93dff340,8000.0,400.0,10000.0,206,033668785c
GAT-0016,Galactic Gate,44eed999,5000.0,250.0,5000.0,206,4a7ef72f37
GAT-0017,Quantum Relay Gate,8b08f1f9,8000.0,400.0,10000.0,206,23979e6a05
GAT-0018,Quantum Relay Gate,61da630c,8000.0,400.0,10000.0,206,243eff68e3
GAT-0019,Quantum Relay Gate,d45ea293,8000.0,400.0,10000.0,206,9aa2eff7c3
GAT-0020,Quantum Relay Gate,04b4a59c,8000.0,400.0,10000.0,206,5db2756626
GAT-0021,Quantum Relay Gate,9b029d06,8000.0,400.0,10000.0,206,962632e3ac
GAT-0022,Quantum Relay Gate,f76d9126,8000.0,400.0,10000.0,206,7315025cfd
