tick,year,planet_id,commodity,price,volatility,inventory,value_index
1,100,7e45451827,Iron,6.5,0.095,288.4,0.65
1,100,7e45451827,Titanium,9.75,0.095,280.1,0.65
1,100,7e45451827,Rare Minerals,16.25,0.095,258.9,0.65
1,100,7e45451827,Water,7.24,0.11,0.0,1.45
1,100,7e45451827,Helium-3,13.0,0.095,36.5,0.65
1,100,7e45451827,Energy,11.59,0.11,0.0,1.45
1,100,7e45451827,Food,8.69,0.11,0.0,1.45
1,100,7e45451827,Advanced Components,72.39,0.11,0.0,1.45
1,100,7e45451827,Quantum Materials,78.0,0.095,74.9,0.65
1,100,7e45451827,Dark Matter Extracts,195.0,0.095,55.2,0.65
1,100,0f24b2ee42,Iron,6.5,0.095,300.1,0.65
1,100,0f24b2ee42,Titanium,9.75,0.095,290.1,0.65
1,100,0f24b2ee42,Rare Minerals,16.25,0.095,265.4,0.65
1,100,0f24b2ee42,Water,7.24,0.11,0.0,1.45
1,100,0f24b2ee42,Helium-3,13.0,0.095,34.7,0.65
1,100,0f24b2ee42,Energy,11.59,0.11,0.0,1.45
1,100,0f24b2ee42,Food,8.69,0.11,0.0,1.45
1,100,0f24b2ee42,Advanced Components,72.4,0.11,0.0,1.45
1,100,0f24b2ee42,Quantum Materials,78.0,0.095,78.2,0.65
1,100,0f24b2ee42,Dark Matter Extracts,195.0,0.095,56.4,0.65
1,100,6f1de1f829,Iron,6.5,0.095,298.1,0.65
1,100,6f1de1f829,Titanium,9.75,0.095,288.1,0.65
1,100,6f1de1f829,Rare Minerals,16.25,0.095,265.8,0.65
1,100,6f1de1f829,Water,7.24,0.11,0.0,1.45
1,100,6f1de1f829,Helium-3,13.0,0.095,37.1,0.65
1,100,6f1de1f829,Energy,11.59,0.11,0.0,1.45
1,100,6f1de1f829,Food,8.69,0.11,0.0,1.45
1,100,6f1de1f829,Advanced Components,72.38,0.11,0.0,1.45
1,100,6f1de1f829,Quantum Materials,78.0,0.095,73.6,0.65
1,100,6f1de1f829,Dark Matter Extracts,195.0,0.095,54.8,0.65
1,100,79089cb45c,Iron,6.5,0.095,214.8,0.65
1,100,79089cb45c,Titanium,9.75,0.095,224.5,0.65
1,100,79089cb45c,Rare Minerals,16.25,0.095,212.0,0.65
1,100,79089cb45c,Water,7.22,0.109,0.0,1.44
1,100,79089cb45c,Helium-3,13.0,0.095,35.6,0.65
1,100,79089cb45c,Energy,11.59,0.11,0.0,1.45
1,100,79089cb45c,Food,8.65,0.109,0.0,1.44
1,100,79089cb45c,Advanced Components,72.43,0.11,0.0,1.45
1,100,79089cb45c,Quantum Materials,78.0,0.095,76.4,0.65
1,100,79089cb45c,Dark Matter Extracts,195.0,0.095,55.8,0.65
1,100,f5265c2b85,Iron,6.5,0.095,200.0,0.65
1,100,f5265c2b85,Titanium,9.75,0.095,200.0,0.65
1,100,f5265c2b85,Rare Minerals,16.25,0.095,200.0,0.65
1,100,f5265c2b85,Water,3.25,0.095,200.0,0.65
1,100,f5265c2b85,Helium-3,13.0,0.095,50.0,0.65
1,100,f5265c2b85,Energy,5.2,0.095,200.0,0.65
1,100,f5265c2b85,Food,3.9,0.095,200.0,0.65
1,100,f5265c2b85,Advanced Components,32.5,0.095,50.0,0.65
1,100,f5265c2b85,Quantum Materials,78.0,0.095,50.0,0.65
1,100,f5265c2b85,Dark Matter Extracts,195.0,0.095,50.0,0.65
1,100,1b285a426c,Iron,6.5,0.095,290.7,0.65
1,100,1b285a426c,Titanium,9.75,0.095,281.7,0.65
1,100,1b285a426c,Rare Minerals,16.25,0.095,261.9,0.65
1,100,1b285a426c,Water,7.23,0.11,0.0,1.45
1,100,1b285a426c,Helium-3,13.0,0.095,38.5,0.65
1,100,1b285a426c,Energy,11.57,0.109,0.0,1.45
1,100,1b285a426c,Food,8.66,0.109,0.0,1.44
1,100,1b285a426c,Advanced Components,72.17,0.109,0.0,1.44
1,100,1b285a426c,Quantum Materials,78.0,0.095,70.9,0.65
1,100,1b285a426c,Dark Matter Extracts,195.0,0.095,53.8,0.65
1,100,fe7f9bcd40,Iron,6.5,0.095,369.3,0.65
1,100,fe7f9bcd40,Titanium,9.75,0.095,378.8,0.65
1,100,fe7f9bcd40,Rare Minerals,16.25,0.095,338.1,0.65
1,100,fe7f9bcd40,Water,7.2,0.109,0.0,1.44
1,100,fe7f9bcd40,Helium-3,13.0,0.095,36.7,0.65
1,100,fe7f9bcd40,Energy,11.57,0.11,0.0,1.45
1,100,fe7f9bcd40,Food,8.59,0.107,0.0,1.43
1,100,fe7f9bcd40,Advanced Components,72.35,0.11,0.0,1.45
1,100,fe7f9bcd40,Quantum Materials,78.0,0.095,74.3,0.65
1,100,fe7f9bcd40,Dark Matter Extracts,195.0,0.095,55.0,0.65
1,100,55d771cd6b,Iron,6.5,0.095,323.8,0.65
1,100,55d771cd6b,Titanium,9.75,0.095,309.8,0.65
1,100,55d771cd6b,Rare Minerals,16.25,0.095,280.9,0.65
1,100,55d771cd6b,Water,7.22,0.109,0.0,1.44
1,100,55d771cd6b,Helium-3,13.0,0.095,34.2,0.65
1,100,55d771cd6b,Energy,11.54,0.109,0.0,1.44
1,100,55d771cd6b,Food,8.63,0.108,0.0,1.44
1,100,55d771cd6b,Advanced Components,72.07,0.109,0.0,1.44
1,100,55d771cd6b,Quantum Materials,78.0,0.095,79.1,0.65
1,100,55d771cd6b,Dark Matter Extracts,195.0,0.095,56.7,0.65
1,100,1561d6937a,Iron,6.5,0.095,216.7,0.65
1,100,1561d6937a,Titanium,9.75,0.095,226.1,0.65
1,100,1561d6937a,Rare Minerals,16.25,0.095,214.6,0.65
1,100,1561d6937a,Water,6.79,0.096,0.0,1.36
1,100,1561d6937a,Helium-3,13.0,0.095,37.3,0.65
1,100,1561d6937a,Energy,11.5,0.108,0.0,1.44
1,100,1561d6937a,Food,8.05,0.094,0.0,1.34
1,100,1561d6937a,Advanced Components,71.26,0.106,0.0,1.43
1,100,1561d6937a,Quantum Materials,78.0,0.095,73.2,0.65
1,100,1561d6937a,Dark Matter Extracts,195.0,0.095,54.7,0.65
1,100,67e993c183,Iron,6.5,0.095,214.1,0.65
1,100,67e993c183,Titanium,9.75,0.095,222.6,0.65
1,100,67e993c183,Rare Minerals,16.25,0.095,215.9,0.65
1,100,67e993c183,Water,6.97,0.101,0.0,1.39
1,100,67e993c183,Helium-3,13.0,0.095,42.1,0.65
1,100,67e993c183,Energy,11.54,0.109,0.0,1.44
1,100,67e993c183,Food,8.29,0.1,0.0,1.38
1,100,67e993c183,Advanced Components,71.59,0.107,0.0,1.43
1,100,67e993c183,Quantum Materials,78.0,0.095,64.2,0.65
1,100,67e993c183,Dark Matter Extracts,195.0,0.095,50.0,0.65
1,100,a8517fe13d,Iron,6.5,0.095,343.7,0.65
1,100,a8517fe13d,Titanium,9.75,0.095,352.4,0.65
1,100,a8517fe13d,Rare Minerals,16.25,0.095,320.4,0.65
1,100,a8517fe13d,Water,7.22,0.109,0.0,1.44
1,100,a8517fe13d,Helium-3,13.0,0.095,41.0,0.65
1,100,a8517fe13d,Energy,11.58,0.11,0.0,1.45
1,100,a8517fe13d,Food,8.62,0.108,0.0,1.44
1,100,a8517fe13d,Advanced Components,72.36,0.11,0.0,1.45
1,100,a8517fe13d,Quantum Materials,78.0,0.095,66.3,0.65
1,100,a8517fe13d,Dark Matter Extracts,195.0,0.095,52.1,0.65
1,100,0177a51953,Iron,6.5,0.095,260.8,0.65
1,100,0177a51953,Titanium,9.75,0.095,254.5,0.65
1,100,0177a51953,Rare Minerals,16.25,0.095,306.4,0.65
1,100,0177a51953,Water,7.24,0.11,0.0,1.45
1,100,0177a51953,Helium-3,13.0,0.095,34.9,0.65
1,100,0177a51953,Energy,11.56,0.109,0.0,1.44
1,100,0177a51953,Food,8.68,0.11,0.0,1.45
1,100,0177a51953,Advanced Components,72.16,0.109,0.0,1.44
1,100,0177a51953,Quantum Materials,78.0,0.095,77.5,0.65
1,100,0177a51953,Dark Matter Extracts,195.0,0.095,56.3,0.65
1,100,77b10c76f1,Iron,6.5,0.095,215.3,0.65
1,100,77b10c76f1,Titanium,9.75,0.095,224.9,0.65
1,100,77b10c76f1,Rare Minerals,16.25,0.095,212.9,0.65
1,100,77b10c76f1,Water,7.12,0.106,0.0,1.42
1,100,77b10c76f1,Helium-3,13.0,0.095,36.3,0.65
1,100,77b10c76f1,Energy,11.58,0.11,0.0,1.45
1,100,77b10c76f1,Food,8.51,0.105,0.0,1.42
1,100,77b10c76f1,Advanced Components,72.2,0.109,0.0,1.44
1,100,77b10c76f1,Quantum Materials,78.0,0.095,75.0,0.65
1,100,77b10c76f1,Dark Matter Extracts,195.0,0.095,55.3,0.65
1,100,0c3cb54d90,Iron,6.5,0.095,260.3,0.65
1,100,0c3cb54d90,Titanium,9.75,0.095,256.9,0.65
