civilization_id,civilization_name,megastructure_type,construction_progress,energy_output_watts,status
f8c1278b86,Consolidated Zelis Worlds,Ringworld,66.4145,0.0,In Progress
4836a15586,Scientific Valan Union,Stellar Engine,87.87,0.0,In Progress
ee951bbfab,Kaelumian Directorate,Dyson Sphere,10.0,0.0,In Progress
b2e833d309,Allied Orionoid Systems,Stellar Engine,28.8155,0.0,In Progress
faf8d4b64a,Solex Directorate,Dyson Swarm,10.0,0.0,In Progress
a500abb373,The Zelari Federation,Dyson Sphere,28.675,0.0,In Progress
9594053f90,Scientific Galacticite Union,Ringworld,91.58449999999999,0.0,In Progress
185a68bac9,Scientific Solari Union,Dyson Sphere,65.866,0.0,In Progress
c4f121b6c1,Orionian Directorate,Orbital Ring,79.27255000000001,0.0,In Progress
70a115d461,Consolidated Aurelite Worlds,Dyson Swarm,100.0,1e+16,Complete
26b5626b6c,Scientific Thranan Union,Stellar Engine,10.0,0.0,In Progress
8a41c4ac34,Valis Directorate,Ringworld,100.0,1e+30,Complete
15286fa1f5,Consolidated Zelari Worlds,Stellar Engine,45.963,0.0,In Progress
ec5efdeb2d,The Bulgite Federation,Dyson Swarm,28.747,0.0,In Progress
2f0954acad,Scientific Aethelgardian Union,Matrioshka Brain,100.0,1e+30,Complete
c7c9fca9a1,Unified Aethelgardis Council,Stellar Engine,48.506,0.0,In Progress
511ff78315,Allied Zeta-cygnis Systems,Matrioshka Brain,88.332,0.0,In Progress
73cb158d41,Unified Vesperari Council,Stellar Engine,10.0,0.0,In Progress
7419a59432,Unified Merari Council,Stellar Engine,49.058,0.0,In Progress
bb1351012f,Zylarian Directorate,Matrioshka Brain,46.838,0.0,In Progress
3be9d94e07,Unified Kaelumoid Council,Stellar Engine,10.0,0.0,In Progress
f8a4edc83b,Consolidated Xenoid Worlds,Stellar Engine,68.678,0.0,In Progress
d2748466c9,Scientific Xenis Union,Stellar Engine,48.2665,0.0,In Progress
4a7ef72f37,The Bulgite Federation,Dyson Swarm,50.6835,0.0,In Progress
b6e89e8b4d,Allied Chi-perseis Systems,Dyson Swarm,10.0,0.0,In Progress
243eff68e3,Sigma-bulgis Directorate,Stellar Engine,10.0,0.0,In Progress
9aa2eff7c3,Persean Directorate,Stellar Engine,90.004,0.0,In Progress
5db2756626,Unified Zelian Council,Stellar Engine,29.0265,0.0,In Progress
37df7ce9be,Unified Xenoid Council,Stellar Engine,49.704,0.0,In Progress
52d6d92e6b,Unified Xenoid Council,Matrioshka Brain,28.2955,0.0,In Progress
962632e3ac,Zylarex Directorate,Stellar Engine,68.331,0.0,In Progress
0bfb7074dd,Scientific Xenite Union,Ringworld,29.490000000000002,0.0,In Progress
626215ebea,Scientific Xenoid Union,Stellar Engine,29.1475,0.0,In Progress
7315025cfd,Unified Aurelari Council,Stellar Engine,48.91,0.0,In Progress
d853839dba,Allied Zelite Systems,Matrioshka Brain,98.0428,0.0,In Progress
c56a0b9792,Allied Elysiis Systems,Dyson Swarm,60.3389,0.0,In Progress
2173a01d64,Allied Elysiian Systems,Dyson Swarm,100.0,1e+16,Complete
35390a1939,Valari Directorate,Matrioshka Brain,28.1025,0.0,In Progress
6d4e0abb77,Scientific Zelan Union,Dyson Swarm,10.0,0.0,In Progress
3a3695c8e9,Consolidated Galactican Worlds,Dyson Sphere,66.7245,0.0,In Progress
494354518b,Unified Zylarite Council,Stellar Engine,69.8485,0.0,In Progress
a425d5c923,Allied Thranari Systems,Dyson Swarm,66.033,0.0,In Progress
4e674c46b8,Aethelgardan Directorate,Matrioshka Brain,10.0,0.0,In Progress
e4a60e62b6,Unified Zeloid Council,Stellar Engine,10.0,0.0,In Progress
24423298c0,Scientific Zylaroid Union,Stellar Engine,29.206,0.0,In Progress
95985a8620,Xenan Directorate,Stellar Engine,47.685,0.0,In Progress
80be4440e8,Kaelumis Directorate,Stellar Engine,10.0,0.0,In Progress
df2217070a,Allied Thranari Systems,Dyson Swarm,10.0,0.0,In Progress
c64460376e,Gamma-orionis Directorate,Matrioshka Brain,65.8555,0.0,In Progress
53e4b98264,Unified Orionian Council,Stellar Engine,68.4385,0.0,In Progress
14c594f145,Unified Orionian Council,Stellar Engine,29.756,0.0,In Progress
075b3fb3b1,Unified Theta-orionis Council,Stellar Engine,67.262,0.0,In Progress
d401178af2,Theta-orionis Commonwealth,Stellar Engine,29.7265,0.0,In Progress
6dfc531f16,Unified Xenis Council,Stellar Engine,47.458,0.0,In Progress
36b91772ac,Unified Orionis Council,Stellar Engine,50.078,0.0,In Progress
3c983bfdab,Unified Vesperari Council,Stellar Engine,28.7205,0.0,In Progress
db90f4ff25,Unified Xenan Council,Stellar Engine,100.0,1e+30,Complete
cfec2df928,Consolidated Zylarex Worlds,Orbital Ring,10.0,0.0,In Progress
a189e2924d,The Thranian Federation,Orbital Ring,10.0,0.0,In Progress
30e300e760,Scientific Sagittariite Union,Stellar Engine,31.463,0.0,In Progress
6fbfc2a11d,Unified Orionite Council,Stellar Engine,10.0,0.0,In Progress
bceea7e00e,Unified Orionan Council,Matrioshka Brain,28.282,0.0,In Progress
9875fc03a4,Orionian Directorate,Stellar Engine,10.0,1e+30,In Progress
81601b2e5e,Unified Sigma-orionis Council,Stellar Engine,46.711999999999996,0.0,In Progress
3c4760ddea,Zelis Commonwealth,Dyson Swarm,44.404,0.0,In Progress
9d578c755a,Scientific Zelian Union,Stellar Engine,66.0715,0.0,In Progress
23094db297,Allied Solian Systems,Orbital Ring,45.67,0.0,In Progress
642e75a08d,Scientific Thranan Union,Stellar Engine,100.0,1e+30,Complete
b619dd5fb5,Scientific Thranan Union,Matrioshka Brain,46.58925000000001,0.0,In Progress
e3ba98a843,Unified Valoid Council,Stellar Engine,84.01400000000001,0.0,In Progress
50f9748c73,Scientific Vesperex Union,Stellar Engine,10.0,0.0,In Progress
3e1c9fe27e,Cygnian Directorate,Stellar Engine,28.494,0.0,In Progress
cb16d2a5bc,Gamma-cygnis Directorate,Stellar Engine,65.966,0.0,In Progress
340e3912e2,Cygnite Directorate,Matrioshka Brain,48.524499999999996,0.0,In Progress
6ebb371c3c,The Tau-galacticis Federation,Stellar Engine,47.867,0.0,In Progress
1b37c066da,Valis Commonwealth,Dyson Swarm,47.664500000000004,0.0,In Progress
f4a721a47f,Gamma-galacticis Directorate,Dyson Swarm,66.471,0.0,In Progress
63d8758b53,The Aurelex Federation,Dyson Swarm,80.10199999999999,0.0,In Progress
415811daec,Solian Directorate,Dyson Sphere,47.238,0.0,In Progress
cb312b9d86,Aurelex Directorate,Stellar Engine,10.0,0.0,In Progress
53dc64803e,Scientific Orionian Union,Stellar Engine,49.047000000000004,0.0,In Progress
5b3c302325,Scientific Bulgian Union,Stellar Engine,86.92949999999999,0.0,In Progress
947f74a852,Allied Sagittariite Systems,Stellar Engine,45.620000000000005,0.0,In Progress
7df05aba52,Unified Sagittarian Council,Stellar Engine,49.126,0.0,In Progress
e23dc5e375,Republic of Galactician,Dyson Swarm,10.0,0.0,In Progress
77811a2fa9,Gaeian Directorate,Dyson Sphere,51.938500000000005,0.0,In Progress
4a9574c523,Scientific Kaelumite Union,Stellar Engine,66.8605,0.0,In Progress
e99c95009e,Merex Directorate,Stellar Engine,10.0,0.0,In Progress
6957a14d13,Xenian Directorate,Stellar Engine,71.21000000000001,0.0,In Progress
2a34070c99,Consolidated Persean Worlds,Stellar Engine,28.3585,0.0,In Progress
4c67325ea2,Unified Persean Council,Stellar Engine,28.8595,0.0,In Progress
8eadd942b0,Scientific Phi-perseis Union,Stellar Engine,10.0,0.0,In Progress
d2f4557294,Perseian Directorate,Ringworld,28.237000000000002,0.0,In Progress
6657429a7c,Unified Ignis-ivis Council,Stellar Engine,100.0,1e+30,Complete
5f5ebcf2f5,Solari Directorate,Dyson Sphere,47.729,0.0,In Progress
5578b4053f,Unified Zylaris Council,Stellar Engine,72.5275,0.0,In Progress
095464621d,Cygnan Commonwealth,Stellar Engine,29.4695,0.0,In Progress
22e010a52d,Unified Cygnite Council,Ringworld,47.075,0.0,In Progress
a987357567,Scientific Thranite Union,Stellar Engine,100.0,1e+30,Complete
cf1fb521d7,Allied Sagittarian Systems,Stellar Engine,29.883,0.0,In Progress
0895acc0af,Sagittarian Directorate,Matrioshka Brain,66.739,0.0,In Progress
cd650c58ff,Gamma-sagittariis Directorate,Stellar Engine,86.95349999999999,0.0,In Progress
208f64f5f9,Scientific Sagittarian Union,Ringworld,69.052,0.0,In Progress
a03b53100a,Orionex Directorate,Stellar Engine,10.0,0.0,In Progress
2640424e04,Unified Aurelan Council,Stellar Engine,100.0,1e+30,Complete
ad899b1ed9,The Meran Federation,Dyson Swarm,29.26,0.0,In Progress
2b4452e77b,Soloid Directorate,Stellar Engine,28.8572,0.0,In Progress
7994a1ada7,Unified Bulgan Council,Dyson Swarm,67.429,0.0,In Progress
2b100070c5,Bulgite Directorate,Stellar Engine,48.701,0.0,In Progress
984d4d4161,Consolidated Vesperan Worlds,Dyson Swarm,83.982,0.0,In Progress
04b742dd38,The Perseian Federation,Dyson Swarm,47.411500000000004,0.0,In Progress
82f9ee8fb4,The Valoid Federation,Ringworld,85.056,0.0,In Progress
08d81107e6,Zylarian Directorate,Matrioshka Brain,48.572199999999995,0.0,In Progress
38a2dd884c,Allied Sagittariian Systems,Dyson Swarm,63.4585,0.0,In Progress
1c90d82c80,Cygnian Directorate,Dyson Swarm,45.86,0.0,In Progress
a067552faf,Consolidated Ian Worlds,Dyson Swarm,28.017000000000003,0.0,In Progress
c6642b2284,Scientific Gaea-is Union,Stellar Engine,68.1285,0.0,In Progress
a222a74ae8,Zelex Directorate,Stellar Engine,10.0,0.0,In Progress
c235dc422c,Scientific Kaeluman Union,Matrioshka Brain,28.725,0.0,In Progress
9dbca7c528,Unified Vesperari Council,Stellar Engine,28.9835,0.0,In Progress
f714a79195,Scientific Orionian Union,Ringworld,86.899,0.0,In Progress
f6221e08e8,Orionian Directorate,Stellar Engine,10.0,0.0,In Progress
f0cb6b0a91,Xenoid Directorate,Stellar Engine,10.0,0.0,In Progress
609e70586f,Scientific Kaeluman Union,Matrioshka Brain,88.8355,0.0,In Progress
a866d8dcfc,Zelis Directorate,Matrioshka Brain,29.2955,0.0,In Progress
26a6b7dcc3,Consolidated Valan Worlds,Matrioshka Brain,28.363,0.0,In Progress
