tick,year,civilization_id,civilization_name,personality,opportunity_score,expansion_factor,trade_factor,tech_factor,energy_factor
1,100,f8c1278b86,Consolidated Zelis Worlds,Scientific,34.7,6.32,4.1,14.28,10.0
1,100,4836a15586,Scientific Valan Union,Scientific,37.32,6.32,4.0,17.01,10.0
1,100,ee951bbfab,Kaelumian Directorate,Scientific,52.45,28.34,0.0,14.11,10.0
1,100,b2e833d309,Allied Orionoid Systems,Scientific,32.11,9.43,0.0,12.68,10.0
1,100,faf8d4b64a,Solex Directorate,Scientific,51.54,28.98,0.0,12.57,10.0
1,100,a500abb373,The Zelari Federation,Scientific,23.68,0.0,0.0,13.68,10.0
1,100,9594053f90,Scientific Galacticite Union,Scientific,28.62,0.0,3.69,14.93,10.0
1,100,22b55b78e2,Unified Omicron-galacticis Council,Scientific,28.22,0.0,2.66,15.57,10.0
1,100,185a68bac9,Scientific Solari Union,Scientific,33.87,7.06,0.0,16.81,10.0
1,100,c4f121b6c1,Orionian Directorate,Scientific,40.27,18.63,0.0,11.64,10.0
1,100,70a115d461,Consolidated Aurelite Worlds,Scientific,43.22,21.83,0.0,11.39,10.0
1,100,26b5626b6c,Scientific Thranan Union,Scientific,41.46,7.84,6.94,16.68,10.0
1,100,8a41c4ac34,Valis Directorate,Scientific,41.78,7.84,6.96,16.98,10.0
1,100,15286fa1f5,Consolidated Zelari Worlds,Scientific,38.51,7.84,5.28,15.38,10.0
1,100,ec5efdeb2d,The Bulgite Federation,Scientific,20.4,0.0,0.0,10.4,10.0
1,100,2f0954acad,Scientific Aethelgardian Union,Scientific,30.9,0.0,4.31,16.59,10.0
1,100,c7c9fca9a1,Unified Aethelgardis Council,Scientific,32.62,0.0,2.68,19.94,10.0
1,100,511ff78315,Allied Zeta-cygnis Systems,Scientific,24.64,0.0,0.0,14.64,10.0
1,100,95cba99a70,Consolidated Aureloid Worlds,Diplomatic,38.17,0.0,16.86,11.32,10.0
1,100,73cb158d41,Unified Vesperari Council,Scientific,46.44,0.0,18.12,18.32,10.0
