planet_id,planet_name,star_id,planet_type,orbital_distance_au,mass,radius,gravity,temperature,water_percentage,atmosphere_type,resource_score,habitability_score
32b094e5eb,HIP 280040-b,1212d714,Toxic World,0.2359,4.6653,1.5392,1.9693,71.21,4.45,Toxic,37.35,10.88
ce9bc65441,HIP 280040-c,1212d714,Ice,0.3655,2.9467,1.3829,1.5408,57.21,14.55,Reducing,34.47,18.64
f9aa680c36,HIP 280040-d,1212d714,Gas Giant,0.536,167.4852,4.5213,8.193,47.24,0.0,Hydrogen-Helium,40.14,0.0
0cc6b4a396,Omicron Cygni-b,473dea70,Gas Giant,0.2274,127.0375,4.4593,6.3886,84.85,0.0,Hydrogen-Helium,41.45,2.48
23b6b09219,Omicron Cygni-c,473dea70,Gas Giant,0.4205,19.4437,4.0598,1.1797,62.4,0.0,Hydrogen-Helium,40.52,10.24
57c29ee43c,Omicron Cygni-d,473dea70,Gas Giant,0.6856,185.7755,4.5448,8.994,48.87,0.0,Hydrogen-Helium,40.84,0.0
373f1a8981,Gaia-8662-b,26815867,Ice,0.1058,0.9935,0.9981,0.9974,99.22,23.48,Thin,32.54,28.62
4816a7c449,Gaia-8662-c,26815867,Gas Giant,0.1868,1657.4781,5.0704,64.4714,74.68,0.0,Hydrogen-Helium,39.42,1.47
dd0d6e6b5c,Gaia-8662-d,26815867,Ice,0.254,2.3548,1.293,1.4086,64.04,15.98,Reducing,40.32,19.6
1691d571ff,Gaia-8662-e,26815867,Ice,0.4751,1.1157,1.0334,1.0448,46.82,10.78,Reducing,28.67,18.16
014a745ed6,Gaia-8662-f,26815867,Gas Giant,0.8805,131.5256,4.467,6.5913,34.39,0.0,Hydrogen-Helium,39.49,0.0
56ebf0bfe7,Gaia-8662-g,26815867,Gas Giant,1.5366,397.6777,4.7211,17.8419,26.04,0.0,Hydrogen-Helium,32.92,0.0
af56da6a44,Kepler-9979b-b,8f82d3b5,Toxic World,0.4494,0.7903,0.9362,0.9016,139.17,7.42,Toxic,33.46,21.4
29d28d3da8,Kepler-9979b-c,8f82d3b5,Gas Giant,0.7622,22.6841,4.0912,1.3552,106.86,0.0,Hydrogen-Helium,40.21,14.69
a37d52ea72,Kepler-9979b-d,8f82d3b5,Gas Giant,1.1653,2487.4527,5.1743,92.9059,86.42,0.0,Hydrogen-Helium,38.91,2.64
8a011de959,Kepler-9979b-e,8f82d3b5,Ice,1.9721,0.6427,0.8758,0.8379,66.43,7.7,Thin,25.2,22.18
da917bbc62,HD 131673-b,f69b317e,Toxic World,0.2376,2.1646,1.2414,1.4046,320.93,4.72,Toxic,28.24,56.85
a21a918b8b,HD 131673-c,f69b317e,Super Earth,0.4335,2.9873,1.3886,1.5492,237.61,30.52,Moderate,52.36,81.53
bf1d55a1fe,HD 131673-d,f69b317e,Rocky,0.8671,1.6853,1.1513,1.2714,168.0,20.12,Moderate,39.85,45.85
454d420d90,HD 131673-e,f69b317e,Ice,1.7023,2.5516,1.3245,1.4545,119.91,36.22,Reducing,35.54,29.23
5748721e1a,HD 131673-f,f69b317e,Ice,3.6749,0.8583,0.9552,0.9407,81.61,12.62,Thin,21.79,24.68
256c826fb6,HD 131673-g,f69b317e,Ice,6.7081,1.0386,1.0114,1.0153,60.4,18.23,Reducing,20.8,19.69
3f0bba2da6,HD 131673-h,f69b317e,Gas Giant,11.9535,2376.9974,5.1626,89.1846,45.25,0.0,Hydrogen-Helium,32.62,0.0
8392a6545b,Gaia-1954-b,b84e5edc,Rocky,0.2082,0.2749,0.7057,0.5521,475.77,18.34,None,44.86,42.11
7e45451827,Gaia-1954-c,b84e5edc,Rocky,0.382,0.5322,0.8434,0.7482,351.25,16.15,Thin,39.04,68.14
0f24b2ee42,Gaia-1954-d,b84e5edc,Rocky,0.6804,0.2095,0.6557,0.4872,263.2,27.85,None,42.02,69.93
