species_id,name,planet_id,intelligence,cooperation,aggression,adaptability,lifespan,population
5ccdfbff52,Zelis,7e45451827,71.41,56.96,41.4,50.11,35.41,2756758517.0
82ded738f2,Valan,0f24b2ee42,77.87,52.6,41.7,32.32,38.73,2579965229.0
c6feab7eab,Kaelumian,6f1de1f829,77.04,49.48,34.09,58.52,43.43,2451432010.0
35c08c2b5f,Orionoid,79089cb45c,73.82,54.29,46.53,41.71,41.14,4017110196.0
f9490830f4,Solex,f5265c2b85,79.15,71.25,44.69,47.55,53.37,7443457581.0
c7136622aa,Zelari,1b285a426c,74.24,67.46,20.77,46.38,27.29,11916613462.0
af6251182a,Galacticite,fe7f9bcd40,84.24,33.1,44.89,38.87,84.57,15000000000.0
18f6f957b3,Omicron-galacticis,55d771cd6b,80.81,48.83,47.28,43.61,31.22,3522217587.0
63339d9ca4,Solari,1561d6937a,85.19,51.42,26.22,29.81,54.79,12051066607.0
cfa89e7186,Orionian,67e993c183,75.28,45.32,34.31,38.54,39.83,10396478125.0
aa2e4d154d,Aurelite,a8517fe13d,66.05,58.56,43.07,37.41,48.56,12728524153.0
fe56724f6e,Thranan,0177a51953,86.86,41.29,45.3,39.78,51.77,484287061.0
ac99efee5d,Valis,77b10c76f1,86.81,43.82,47.73,27.77,60.3,11574902406.0
1c421f2ab4,Zelari,0c3cb54d90,71.75,53.04,49.83,45.26,58.73,4343276517.0
ac9684481b,Bulgite,2835dcbe39,59.04,41.05,47.01,42.97,51.37,9577062209.0
192fd7b889,Aethelgardian,d14470e66b,91.4,36.86,53.12,53.25,60.85,8394752465.0
141f3758c2,Aethelgardis,a515d160f9,100.0,50.5,45.3,25.02,50.3,13345739425.0
164c580b81,Zeta-cygnis,c0b4416fc0,71.93,53.08,67.22,39.69,38.09,2263982840.0
6da1f95f5d,Aureloid,38554c70e7,72.16,57.68,48.92,36.58,39.14,763907920.0
986b35293e,Vesperari,e2077d40a4,91.11,50.43,48.64,50.66,39.01,468882953.0
342609e51c,Merari,f524f881d3,99.46,49.99,53.31,49.88,51.71,6803110802.0
b62fd80ce0,Zylarian,fc20f1db2a,83.86,51.32,43.28,21.2,49.73,2840600289.0
01391b6097,Kaelumoid,ceb849c6ff,96.28,56.25,18.5,41.86,30.79,2530771241.0
1d0c6362de,Solis,2bc9664750,64.26,47.04,35.84,33.47,61.95,655982882.0
02a14994ea,Xenoid,8724c84304,67.79,52.67,36.07,31.85,45.47,2610963076.0
bafb98ec44,Xenis,202a3af108,82.94,45.72,41.44,63.48,49.72,3918068707.0
a36903482c,Bulgite,45178b6506,79.91,72.12,25.23,42.04,56.0,12076618981.0
7cd3317ac3,Persean,8a94f397dc,79.9,39.8,43.14,35.7,62.33,7568161787.0
aec32f8e49,Chi-perseis,f16b9f7d7e,54.44,65.74,41.34,39.21,13.43,2127983199.0
