star_id,star_name,region,betweenness_centrality,strategic_value_score,neighbors_count
819b78b5,GDE-4485,Orion Arm,0.043859,100.0,210
b04073fa,Gliese 374.0,Cygnus Arm,0.043699,99.63,210
1699edb3,HR 36296,Perseus Arm,0.042858,97.72,210
82d87ebd,TESS-7890,Perseus Arm,0.042856,97.71,211
edc9d801,HD 190494,Orion Arm,0.038957,88.82,7
622636ae,Nu Bulge,Core,0.037709,85.97,7
83611aa7,Omega Cygni,Cygnus Arm,0.037125,84.64,6
29b68348,PSR 255277,Sagittarius Arm,0.034152,77.87,5
dbb1c841,Omega Bulge,Core,0.032213,73.44,210
ec18573c,Gaea,Sagittarius Arm,0.030519,69.58,209
6be74bea,Gaea I,Perseus Arm,0.028756,65.56,4
473dea70,Omicron Cygni,Cygnus Arm,0.028668,65.36,6
671fed61,Kepler-8489,Perseus Arm,0.028626,65.27,5
a576f5a6,HIP 19496,Cygnus Arm,0.026802,61.11,5
a2d354d7,Epsilon Persei,Perseus Arm,0.02522,57.5,3
c37cbca3,Gliese 787.0,Core,0.025165,57.38,209
1c9c4f97,Omicron Sagittarii,Sagittarius Arm,0.025109,57.25,8
f76d9126,TESS-2949,Sagittarius Arm,0.025069,57.16,210
847258d3,Webb-2356,Disk Background,0.025013,57.03,207
8b08f1f9,Chi Persei,Perseus Arm,0.023517,53.62,211
8af3cb80,Gliese 593.0,Perseus Arm,0.023446,53.46,4
29f54147,Webb-6276e,Cygnus Arm,0.023238,52.98,6
099ed5da,PSR 86396,Core,0.021705,49.49,210
13c5f9fc,Xi Sagittarii,Sagittarius Arm,0.021506,49.03,210
09687116,Ignis IV,Perseus Arm,0.019894,45.36,208
4ad5d8f7,GDE-295,Core,0.019815,45.18,211
74ba6a6c,TESS-5137,Orion Arm,0.019731,44.99,6
abf1d9c6,HR 127729,Orion Arm,0.019733,44.99,6
18228d8b,Gaia-4413,Core,0.019625,44.74,209
07115d02,Iota Persei,Perseus Arm,0.01811,41.29,210
b536f6da,Nu Persei,Perseus Arm,0.018094,41.25,5
eb43d799,HR 15636,Core,0.018048,41.15,6
06b92a40,HIP 246403,Core,0.01805,41.15,209
419c001a,Omega Sagittarii,Sagittarius Arm,0.018044,41.14,3
dacd2e39,TESS-973,Sagittarius Arm,0.018038,41.13,210
9b62ffa7,GDE-8822c,Sagittarius Arm,0.016417,37.43,6
09f83e94,Upsilon Orionis,Orion Arm,0.016323,37.22,212
807851ac,HIP 60248,Sagittarius Arm,0.016315,37.2,4
a5aa5b1a,Nu Orionis,Orion Arm,0.016307,37.18,211
97305fd9,Gliese 192.0,Cygnus Arm,0.016307,37.18,210
3b241cd5,GDE-1776d,Perseus Arm,0.016303,37.17,4
013e2852,Kepler-6776,Perseus Arm,0.016301,37.17,209
df21000a,Mu Bulge,Core,0.016299,37.16,5
446ad83e,Phi Persei,Perseus Arm,0.016229,37.0,208
c6de0b3f,Phi Cygni,Cygnus Arm,0.016134,36.79,5
50580b5b,HD 116898,Core,0.01608,36.66,6
840d8b8f,HR 66132,Orion Arm,0.01606,36.62,211
ec6edc6a,Delta Cygni,Cygnus Arm,0.014512,33.09,208
d9468784,PSR 158408,Perseus Arm,0.014463,32.98,5
eb590d95,HR 121153,Core,0.014453,32.95,209
40a345dc,TESS-8035,Cygnus Arm,0.014441,32.93,4
b7c960e0,Theta Orionis,Orion Arm,0.014405,32.84,212
4b184660,Theta Orionis,Orion Arm,0.012722,29.01,5
2b7c9993,Theta Sagittarii,Sagittarius Arm,0.01272,29.0,209
eaefe5c4,Webb-7533,Perseus Arm,0.01271,28.98,6
c5726c64,Epsilon Persei,Perseus Arm,0.012708,28.97,3
7d9ab034,HIP 24677,Perseus Arm,0.012694,28.94,3
b05778ee,TESS-5743b,Orion Arm,0.01269,28.93,208
3353ef95,HR 189736,Cygnus Arm,0.012656,28.85,3
b3175283,Kepler-4288,Cygnus Arm,0.012648,28.84,4
16a611db,TESS-8572e,Perseus Arm,0.012648,28.84,2
507fe63e,Gaia-2648c,Core,0.012568,28.65,209
8d111666,GDE-2349e,Orion Arm,0.010931,24.92,2
79de99a2,Alpha Sagittarii,Sagittarius Arm,0.010909,24.87,4
cbb9628c,Kepler-5779,Cygnus Arm,0.010905,24.86,4
c537bcd2,HIP 280577,Perseus Arm,0.010905,24.86,3
ad3157c1,TESS-4687,Sagittarius Arm,0.010905,24.86,2
3ebbd767,PSR 161837,Core,0.010905,24.86,207
8405f8a2,Kepler-3139d,Core,0.010901,24.85,6
6f116dc8,Gliese 325.0,Sagittarius Arm,0.010895,24.84,208
0d0603a9,Kepler-3722,Sagittarius Arm,0.010889,24.83,208
e2176638,Mu Persei,Perseus Arm,0.010889,24.83,210
f2c5ccdb,Webb-1799,Core,0.010889,24.83,210
a76c941f,PSR 104430,Perseus Arm,0.010883,24.81,210
32aff2a0,HD 50077,Core,0.010877,24.8,209
d69b07b4,Kepler-2873,Core,0.010859,24.76,5
22c61624,Pi Sagittarii,Sagittarius Arm,0.010826,24.68,210
be9a64f4,Webb-8019,Core,0.010718,24.44,209
74d538e3,Gaia-1650,Cygnus Arm,0.010698,24.39,212
9beac07b,Kepler-1509,Orion Arm,0.009153,20.87,3
0f848144,Upsilon Orionis,Orion Arm,0.009105,20.76,5
44ebb476,Theta Sagittarii,Sagittarius Arm,0.009105,20.76,6
36f27f2f,Nu Orionis,Orion Arm,0.009099,20.75,5
e24dc40c,GDE-6664,Sagittarius Arm,0.009095,20.74,210
80d2e06b,Aurelia,Sagittarius Arm,0.009097,20.74,5
41553110,Webb-8885,Core,0.009097,20.74,4
7d161f8a,Theta Persei,Perseus Arm,0.009097,20.74,2
e74ab968,Iapetus,Core,0.009097,20.74,3
