civilization_id,name,year,population,tech_level,energy_source,kardashev_rating,stability_score,corruption_score,innovation_score,government_type
f8c1278b86,Consolidated Zelis Worlds,0,2756758517.0,9.117,Antimatter,0.5,80.0,10.0,50.0,Monarchy
4836a15586,Scientific Valan Union,0,2579965229.0,9.801,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,AI Governance
ee951bbfab,Kaelumian Directorate,0,2451432010.0,8.753,Antimatter,0.5,80.0,10.0,50.0,Technocracy
b2e833d309,Allied Orionoid Systems,0,4017110196.0,9.413,Antimatter,0.5,80.0,10.0,50.0,Scientific Council
faf8d4b64a,Solex Directorate,0,7443457581.0,6.751,Fusion,0.5,80.0,10.0,50.0,Collective
a500abb373,The Zelari Federation,0,11916613462.0,8.297,Antimatter,0.5,80.0,10.0,50.0,AI Governance
9594053f90,Scientific Galacticite Union,0,15000000000.0,9.001999999999999,Antimatter,0.5,80.0,10.0,50.0,Collective
22b55b78e2,Unified Omicron-galacticis Council,0,3522217587.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Scientific Council
185a68bac9,Scientific Solari Union,0,12051066607.0,8.806000000000001,Antimatter,0.5,80.0,10.0,50.0,Technocracy
c4f121b6c1,Orionian Directorate,0,10396478125.0,6.436,Fusion,0.5,80.0,10.0,50.0,Technocracy
70a115d461,Consolidated Aurelite Worlds,0,12728524153.0,6.56,Fusion,0.5,80.0,10.0,50.0,Technocracy
26b5626b6c,Scientific Thranan Union,0,484287061.0,9.716,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Technocracy
8a41c4ac34,Valis Directorate,0,11574902406.0,9.190000000000001,Antimatter,0.5,80.0,10.0,50.0,AI Governance
15286fa1f5,Consolidated Zelari Worlds,0,4343276517.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Scientific Council
ec5efdeb2d,The Bulgite Federation,0,9577062209.0,7.118,Fusion,0.5,80.0,10.0,50.0,Technocracy
2f0954acad,Scientific Aethelgardian Union,0,8394752465.0,9.288,Antimatter,0.5,80.0,10.0,50.0,AI Governance
c7c9fca9a1,Unified Aethelgardis Council,0,13345739425.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Federation
511ff78315,Allied Zeta-cygnis Systems,0,2263982840.0,9.848,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,AI Governance
95cba99a70,Consolidated Aureloid Worlds,0,763907920.0,9.152,Antimatter,0.5,80.0,10.0,50.0,AI Governance
73cb158d41,Unified Vesperari Council,0,468882953.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Scientific Council
7419a59432,Unified Merari Council,0,6803110802.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Technocracy
bb1351012f,Zylarian Directorate,0,2840600289.0,9.504999999999999,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Monarchy
3be9d94e07,Unified Kaelumoid Council,0,2530771241.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Democracy
033668785c,The Solis Federation,0,655982882.0,9.833,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Scientific Council
f8a4edc83b,Consolidated Xenoid Worlds,0,2610963076.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Collective
d2748466c9,Scientific Xenis Union,0,3918068707.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Scientific Council
4a7ef72f37,The Bulgite Federation,0,12076618981.0,7.864,Fusion,0.5,80.0,10.0,50.0,Collective
23979e6a05,Unified Persean Council,0,7568161787.0,8.606,Antimatter,0.5,80.0,10.0,50.0,Technocracy
b6e89e8b4d,Allied Chi-perseis Systems,0,2127983199.0,8.023,Antimatter,0.5,80.0,10.0,50.0,Federation
243eff68e3,Sigma-bulgis Directorate,0,210111918.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Monarchy
9aa2eff7c3,Persean Directorate,0,13146823757.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Collective
5db2756626,Unified Zelian Council,0,1330010076.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Scientific Council
37df7ce9be,Unified Xenoid Council,0,13047190956.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Collective
63fff6610a,Meris Directorate,0,10657126089.0,9.578,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Scientific Council
52d6d92e6b,Unified Xenoid Council,0,6256761115.0,9.479000000000001,Antimatter,0.5,80.0,10.0,50.0,Monarchy
ea27a17ca6,The Meris Federation,0,2209549798.0,8.562000000000001,Antimatter,0.5,80.0,10.0,50.0,Technocracy
962632e3ac,Zylarex Directorate,0,6894199613.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Monarchy
0bfb7074dd,Scientific Xenite Union,0,1725053179.0,9.157,Antimatter,0.5,80.0,10.0,50.0,Scientific Council
626215ebea,Scientific Xenoid Union,0,4715843726.0,9.239,Antimatter,0.5,80.0,10.0,50.0,Technocracy
d8145cd1f0,Aurelite Commonwealth,0,9390764918.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Collective
7315025cfd,Unified Aurelari Council,0,4089807685.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Federation
d853839dba,Allied Zelite Systems,0,6410637400.0,9.472,Antimatter,0.5,80.0,10.0,50.0,Democracy
c56a0b9792,Allied Elysiis Systems,0,1958886697.0,6.35,Fusion,0.5,80.0,10.0,50.0,Democracy
2173a01d64,Allied Elysiian Systems,0,2032598013.0,7.022,Fusion,0.5,80.0,10.0,50.0,Collective
35390a1939,Valari Directorate,0,464035786.0,9.108,Antimatter,0.5,80.0,10.0,50.0,Democracy
6d4e0abb77,Scientific Zelan Union,0,2674083157.0,8.0,Antimatter,0.5,80.0,10.0,50.0,Federation
3a3695c8e9,Consolidated Galactican Worlds,0,6793350232.0,8.454,Antimatter,0.5,80.0,10.0,50.0,Monarchy
494354518b,Unified Zylarite Council,0,6780085312.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Technocracy
a425d5c923,Allied Thranari Systems,0,9185577912.0,7.9430000000000005,Fusion,0.5,80.0,10.0,50.0,Scientific Council
9cad00795f,Allied Aethelgardian Systems,0,131971714.0,7.304,Fusion,0.5,80.0,10.0,50.0,Scientific Council
155f4eead5,The Aethelgardan Federation,0,4023752016.0,8.716,Antimatter,0.5,80.0,10.0,50.0,Democracy
35b25d7eaf,Unified Aethelgardis Council,0,2901950272.0,9.062999999999999,Antimatter,0.5,80.0,10.0,50.0,Democracy
4e674c46b8,Aethelgardan Directorate,0,15000000000.0,9.065999999999999,Antimatter,0.5,80.0,10.0,50.0,AI Governance
e4a60e62b6,Unified Zeloid Council,0,395695403.0,10.0,Dyson Swarm Prototype,0.5,80.0,10.0,50.0,Democracy
