civilization_id,controlled_systems_count,controlled_planets_count,territory_size_ly3,sphere_of_influence_ly,frontier_regions_count
f8c1278b86,0,0,20634564.83,170.15,0
4836a15586,1,3,23282648.66,177.14,1
ee951bbfab,1,7,27547391.28,167.48,1
b2e833d309,1,4,26639353.86,174.35,1
faf8d4b64a,1,6,3420184.86,93.47,1
a500abb373,1,6,17133355.84,159.93,1
9594053f90,0,0,20014367.55,168.43,0
22b55b78e2,1,2,22751028.58,175.78,1
185a68bac9,1,7,21264691.25,161.73,1
c4f121b6c1,1,5,12539114.39,144.12,1
70a115d461,1,10,23764737.21,152.49,1
26b5626b6c,0,0,21892928.95,173.54,0
8a41c4ac34,0,0,20075582.95,168.6,0
15286fa1f5,1,8,26765805.32,174.62,1
ec5efdeb2d,1,1,3739543.92,96.29,1
2f0954acad,0,0,21283365.77,171.92,0
c7c9fca9a1,1,3,23191619.11,176.91,1
511ff78315,1,2,21895906.41,173.55,1
95cba99a70,0,0,19731335.13,167.63,0
73cb158d41,0,0,22896303.81,176.15,0
7419a59432,1,8,23065415.61,176.59,1
bb1351012f,0,0,22027597.69,173.9,0
3be9d94e07,0,0,22757569.54,175.8,0
033668785c,0,0,22211819.75,174.38,0
f8a4edc83b,0,0,28351670.96,178.01,0
d2748466c9,1,4,24053941.63,179.07,1
4a7ef72f37,1,4,20124219.51,158.79,1
23979e6a05,1,7,20582467.3,159.98,1
b6e89e8b4d,0,0,16595239.91,158.23,0
243eff68e3,1,5,26755104.78,174.6,1
9aa2eff7c3,1,1,8182998.14,125.01,1
5db2756626,1,7,23375318.72,177.37,1
37df7ce9be,0,0,22586649.53,175.36,0
63fff6610a,0,0,7382311.04,120.79,0
52d6d92e6b,0,0,20236067.03,169.05,0
ea27a17ca6,0,0,17911825.64,162.31,0
962632e3ac,0,0,23058448.61,176.57,0
0bfb7074dd,0,0,20691332.66,170.31,0
626215ebea,0,0,6776825.63,117.39,0
d8145cd1f0,1,6,23129470.19,176.75,1
7315025cfd,1,3,23009789.63,176.44,1
d853839dba,0,0,22288183.14,174.58,0
c56a0b9792,0,0,13293972.9,146.96,0
2173a01d64,1,7,17656819.46,152.01,1
35390a1939,1,6,23473684.99,167.15,1
6d4e0abb77,0,0,16135754.58,156.76,0
3a3695c8e9,1,7,22825998.64,165.6,1
494354518b,1,2,23972403.04,178.87,1
a425d5c923,0,0,16168332.04,156.86,0
9cad00795f,0,0,13414001.2,147.4,0
155f4eead5,0,0,18472545.45,163.99,0
35b25d7eaf,1,7,19834657.09,167.92,1
4e674c46b8,0,0,18635106.69,164.47,0
e4a60e62b6,0,0,23012498.5,176.45,0
24423298c0,0,0,22965516.32,176.33,0
95985a8620,1,9,24669132.38,180.59,1
80be4440e8,0,0,21864182.69,173.47,0
c7a93adf27,0,0,19465644.5,166.88,0
df2217070a,0,0,16025703.1,156.4,0
c64460376e,0,0,22647898.49,175.51,0
