tick,year,civilization_id,civilization_name,personality,threat_score,rival_factor,instability_factor,resource_factor,tech_factor
1,100,f8c1278b86,Consolidated Zelis Worlds,Scientific,65.37,46.0,12.5,5.49,1.38
1,100,4836a15586,Scientific Valan Union,Scientific,64.74,47.02,12.5,5.22,0.0
1,100,ee951bbfab,Kaelumian Directorate,Scientific,17.63,0.0,12.5,5.13,0.0
1,100,b2e833d309,Allied Orionoid Systems,Scientific,27.93,0.0,22.23,5.7,0.0
1,100,faf8d4b64a,Solex Directorate,Scientific,30.08,0.0,25.0,5.08,0.0
1,100,a500abb373,The Zelari Federation,Scientific,29.01,0.0,23.73,5.28,0.0
1,100,9594053f90,Scientific Galacticite Union,Scientific,50.33,24.35,19.96,4.05,1.97
1,100,22b55b78e2,Unified Omicron-galacticis Council,Scientific,77.01,50.0,22.5,4.51,0.0
1,100,185a68bac9,Scientific Solari Union,Scientific,13.9,0.0,8.44,5.46,0.0
1,100,c4f121b6c1,Orionian Directorate,Scientific,14.92,0.0,9.35,5.56,0.0
1,100,70a115d461,Consolidated Aurelite Worlds,Scientific,24.6,0.0,20.23,4.37,0.0
1,100,26b5626b6c,Scientific Thranan Union,Scientific,74.78,50.0,18.29,5.94,0.56
1,100,8a41c4ac34,Valis Directorate,Scientific,55.13,38.83,9.07,5.63,1.6
1,100,15286fa1f5,Consolidated Zelari Worlds,Scientific,70.63,50.0,14.14,6.49,0.0
1,100,ec5efdeb2d,The Bulgite Federation,Scientific,29.6,0.0,25.0,4.6,0.0
1,100,2f0954acad,Scientific Aethelgardian Union,Scientific,48.44,27.15,15.52,4.39,1.38
1,100,c7c9fca9a1,Unified Aethelgardis Council,Scientific,64.5,50.0,9.05,5.45,0.0
1,100,511ff78315,Allied Zeta-cygnis Systems,Scientific,28.96,0.0,24.09,4.86,0.0
1,100,95cba99a70,Consolidated Aureloid Worlds,Diplomatic,69.65,50.0,12.5,5.45,1.7
1,100,73cb158d41,Unified Vesperari Council,Scientific,72.7,50.0,17.12,5.57,0.01
1,100,7419a59432,Unified Merari Council,Scientific,65.26,50.0,9.89,5.37,0.0
1,100,bb1351012f,Zylarian Directorate,Scientific,75.15,46.33,21.46,6.09,1.27
1,100,3be9d94e07,Unified Kaelumoid Council,Scientific,70.38,50.0,14.07,6.0,0.31
1,100,033668785c,The Solis Federation,Industrialist,78.33,50.0,22.23,5.73,0.37
1,100,f8a4edc83b,Consolidated Xenoid Worlds,Industrialist,67.52,50.0,12.5,4.99,0.03
1,100,d2748466c9,Scientific Xenis Union,Scientific,51.66,28.66,17.47,5.53,0.0
1,100,4a7ef72f37,The Bulgite Federation,Scientific,15.75,0.0,12.02,3.73,0.0
1,100,23979e6a05,Unified Persean Council,Scientific,75.74,50.0,20.48,5.26,0.0
1,100,b6e89e8b4d,Allied Chi-perseis Systems,Diplomatic,43.96,24.44,12.5,5.9,1.12
1,100,243eff68e3,Sigma-bulgis Directorate,Scientific,18.49,0.0,12.5,5.99,0.0
1,100,9aa2eff7c3,Persean Directorate,Scientific,29.66,0.0,25.0,4.66,0.0
1,100,5db2756626,Unified Zelian Council,Scientific,53.91,26.21,22.26,5.44,0.0
1,100,37df7ce9be,Unified Xenoid Council,Scientific,64.78,50.0,9.6,4.89,0.29
1,100,63fff6610a,Meris Directorate,Scientific,81.51,50.0,25.0,5.36,1.14
1,100,52d6d92e6b,Unified Xenoid Council,Scientific,65.53,50.0,8.2,6.0,1.34
1,100,ea27a17ca6,The Meris Federation,Diplomatic,72.05,50.0,12.5,6.65,2.89
1,100,962632e3ac,Zylarex Directorate,Scientific,65.33,50.0,10.12,5.21,0.0
1,100,0bfb7074dd,Scientific Xenite Union,Scientific,62.88,33.68,22.58,4.97,1.65
1,100,626215ebea,Scientific Xenoid Union,Scientific,81.88,50.0,25.0,5.35,1.53
1,100,d8145cd1f0,Aurelite Commonwealth,Explorer,74.97,50.0,19.87,5.1,0.0
1,100,7315025cfd,Unified Aurelari Council,Scientific,72.42,50.0,16.99,5.43,0.0
1,100,d853839dba,Allied Zelite Systems,Scientific,43.23,16.51,19.21,6.5,1.01
1,100,c56a0b9792,Allied Elysiis Systems,Industrialist,69.31,50.0,12.5,6.08,0.73
1,100,2173a01d64,Allied Elysiian Systems,Industrialist,52.61,25.6,21.4,5.61,0.0
1,100,35390a1939,Valari Directorate,Scientific,66.42,41.2,18.95,6.27,0.0
1,100,6d4e0abb77,Scientific Zelan Union,Scientific,60.22,44.67,7.02,6.12,2.41
1,100,3a3695c8e9,Consolidated Galactican Worlds,Scientific,22.37,0.0,17.36,5.02,0.0
1,100,494354518b,Unified Zylarite Council,Scientific,48.79,32.52,11.21,5.06,0.0
1,100,a425d5c923,Allied Thranari Systems,Scientific,80.97,50.0,21.76,4.99,4.23
1,100,9cad00795f,Allied Aethelgardian Systems,Diplomatic,71.51,50.0,11.98,6.06,3.47
1,100,155f4eead5,The Aethelgardan Federation,Scientific,66.97,44.42,17.21,4.7,0.64
1,100,35b25d7eaf,Unified Aethelgardis Council,Scientific,68.0,50.0,12.5,5.5,0.0
