agreement_id,party_a_id,party_b_id,agreement_type,tariff_rate,volume_limit,active_ticks,trade_volume,trade_profit
TR-AGR-0001,f8c1278b86,658cf93cc4,Resource Alliance,0.06,283.7,0,0.0,0.0
TR-AGR-0002,ee951bbfab,63f01adf18,Economic Alliance,0.03,309.9,0,0.0,0.0
TR-AGR-0003,b2e833d309,a425d5c923,Resource Alliance,0.06,118.67,0,0.0,0.0
TR-AGR-0004,faf8d4b64a,3b106fa102,Resource Alliance,0.06,347.35,0,0.0,0.0
TR-AGR-0005,faf8d4b64a,0ad458611c,Resource Alliance,0.06,286.71,0,0.0,0.0
TR-AGR-0006,185a68bac9,52d6d92e6b,Resource Alliance,0.06,172.89,0,0.0,0.0
TR-AGR-0007,26b5626b6c,2b478a564d,Resource Alliance,0.06,437.81,0,0.0,0.0
TR-AGR-0008,26b5626b6c,b91403ddc4,Trade Deal,0.09,242.7,0,0.0,0.0
TR-AGR-0009,2f0954acad,3557fb1c6f,Trade Deal,0.09,445.24,0,0.0,0.0
TR-AGR-0010,c7c9fca9a1,37df7ce9be,Trade Deal,0.09,367.54,0,0.0,0.0
TR-AGR-0011,c7c9fca9a1,a7f6005fd2,Trade Deal,0.09,288.89,0,0.0,0.0
TR-AGR-0012,7419a59432,fcda05fc4e,Resource Alliance,0.06,325.31,0,0.0,0.0
TR-AGR-0013,3be9d94e07,b0eb206a08,Resource Alliance,0.06,349.74,0,0.0,0.0
TR-AGR-0014,3be9d94e07,f2bbbfc167,Trade Deal,0.09,266.6,0,0.0,0.0
TR-AGR-0015,033668785c,bbf8578e8c,Trade Deal,0.09,100.21,0,0.0,0.0
TR-AGR-0016,d2748466c9,f6221e08e8,Resource Alliance,0.06,376.97,0,0.0,0.0
TR-AGR-0017,d2748466c9,691ec52085,Trade Deal,0.09,477.16,0,0.0,0.0
TR-AGR-0018,d2748466c9,2e4e7545f5,Trade Deal,0.09,245.45,0,0.0,0.0
TR-AGR-0019,23979e6a05,a987357567,Resource Alliance,0.06,343.83,0,0.0,0.0
TR-AGR-0020,243eff68e3,be3191b575,Resource Alliance,0.06,337.08,0,0.0,0.0
TR-AGR-0021,243eff68e3,792f609a6f,Economic Alliance,0.03,195.06,0,0.0,0.0
TR-AGR-0022,9aa2eff7c3,4164b650a3,Resource Alliance,0.06,352.92,0,0.0,0.0
TR-AGR-0023,9aa2eff7c3,947f74a852,Economic Alliance,0.03,174.61,0,0.0,0.0
TR-AGR-0024,37df7ce9be,7652ec5c8d,Economic Alliance,0.03,476.21,0,0.0,0.0
TR-AGR-0025,63fff6610a,f7ed0ea8ba,Resource Alliance,0.06,469.88,0,0.0,0.0
TR-AGR-0026,ea27a17ca6,a866d8dcfc,Resource Alliance,0.06,453.05,0,0.0,0.0
TR-AGR-0027,962632e3ac,7388512271,Trade Deal,0.09,411.95,0,0.0,0.0
TR-AGR-0028,962632e3ac,f7bd18e491,Economic Alliance,0.03,414.14,0,0.0,0.0
TR-AGR-0029,0bfb7074dd,57f00e3f50,Resource Alliance,0.06,279.37,0,0.0,0.0
TR-AGR-0030,0bfb7074dd,927dbfac0b,Trade Deal,0.09,107.23,0,0.0,0.0
TR-AGR-0031,d8145cd1f0,74136dc7b0,Trade Deal,0.09,137.47,0,0.0,0.0
TR-AGR-0032,d8145cd1f0,2c6958242d,Trade Deal,0.09,489.2,0,0.0,0.0
TR-AGR-0033,d8145cd1f0,c2fe0ab024,Resource Alliance,0.06,462.44,0,0.0,0.0
TR-AGR-0034,7315025cfd,096fc37df4,Trade Deal,0.09,358.04,0,0.0,0.0
TR-AGR-0035,7315025cfd,32d2bbd884,Economic Alliance,0.03,192.07,0,0.0,0.0
TR-AGR-0036,d853839dba,c6e77e6789,Trade Deal,0.09,465.95,0,0.0,0.0
TR-AGR-0037,d853839dba,e23dc5e375,Trade Deal,0.09,232.3,0,0.0,0.0
TR-AGR-0038,c56a0b9792,75a58165a0,Economic Alliance,0.03,222.28,0,0.0,0.0
TR-AGR-0039,c56a0b9792,e12feef736,Resource Alliance,0.06,167.8,0,0.0,0.0
TR-AGR-0040,2173a01d64,9568bafb15,Resource Alliance,0.06,472.01,0,0.0,0.0
TR-AGR-0041,35390a1939,cd3cb2af45,Trade Deal,0.09,496.02,0,0.0,0.0
TR-AGR-0042,6d4e0abb77,dbf06f7273,Trade Deal,0.09,217.44,0,0.0,0.0
TR-AGR-0043,3a3695c8e9,d2748466c9,Trade Deal,0.09,344.61,0,0.0,0.0
TR-AGR-0044,a425d5c923,d7ec4d3018,Resource Alliance,0.06,286.24,0,0.0,0.0
TR-AGR-0045,a425d5c923,abb26e55dc,Trade Deal,0.09,336.33,0,0.0,0.0
TR-AGR-0046,9cad00795f,41e5776038,Resource Alliance,0.06,429.04,0,0.0,0.0
