wormhole_id,wormhole_type,stability_type,entry_system,exit_system,distance_reduction,stability,capacity,owner_empire
WRM-NAT-0001,Natural,Unstable,250f91a5,6f0bddf7,28183.33,0.266,1397.99,None
WRM-NAT-0002,Natural,Stable,637b83e4,b2f8c1eb,20603.55,1.0,587.13,None
WRM-NAT-0003,Natural,Unstable,c41d7cc7,b05778ee,30151.87,0.254,530.88,None
WRM-NAT-0005,Natural,Unstable,622636ae,edc9d801,16462.7,0.162,1147.92,None
WRM-NAT-0006,Natural,Unstable,59d5887c,aec5a9b6,32021.49,0.0,938.22,None
WRM-NAT-0007,Natural,Unstable,847258d3,29f54147,9066.85,0.293,799.51,None
WRM-NAT-0009,Natural,Stable,0fe5f7e9,8676a083,25787.86,1.0,1923.33,None
WRM-NAT-0010,Natural,Unstable,e9b7af78,850c3810,26673.53,0.052,646.51,None
WRM-NAT-0012,Natural,Unstable,030a27f0,6473ca1f,28214.14,0.029,1493.78,None
WRM-NAT-0013,Natural,Unstable,473dea70,83611aa7,35597.7,0.184,546.97,None
WRM-NAT-0014,Natural,Unstable,4d5639e8,41bf3fe6,11344.96,0.098,1889.99,None
WRM-NAT-0015,Natural,Unstable,300dd191,ab4c2378,9615.14,0.185,1281.25,None
WRM-NAT-0016,Natural,Unstable,eaefe5c4,eb43d799,25262.39,0.274,1309.54,None
WRM-NAT-0017,Natural,Unstable,a276d766,fc1c6b53,29359.36,0.204,914.0,None
WRM-NAT-0018,Natural,Stable,a578783b,79de99a2,25590.66,1.0,523.45,None
WRM-NAT-0020,Natural,Unstable,ce33537e,c37cbca3,5298.85,0.295,1408.94,None
WRM-NAT-0021,Natural,Unstable,11b154dc,07c2486a,64280.52,0.357,1775.06,None
WRM-NAT-0022,Natural,Stable,840d8b8f,22d967e2,18517.29,1.0,1056.23,None
WRM-NAT-0023,Natural,Unstable,4b7c064b,ad82f4bb,10075.68,0.196,912.08,None
WRM-NAT-0024,Natural,Unstable,1451b4fa,e2190799,23653.62,0.386,1773.37,None
WRM-NAT-0026,Natural,Stable,5efb46bf,79de99a2,5622.72,1.0,1159.0,None
WRM-NAT-0027,Natural,Unstable,18228d8b,50580b5b,8585.2,0.138,1344.91,None
WRM-NAT-0028,Natural,Stable,2ee67c76,110eb7b5,25500.84,1.0,1406.63,None
WRM-NAT-0029,Natural,Unstable,ba7f60fd,57b3f2a1,27937.28,0.371,1398.3,None
WRM-NAT-0030,Natural,Unstable,29b68348,cbb9628c,18906.48,0.212,943.45,None
WRM-NAT-0032,Natural,Unstable,3126c7ad,7200a3bc,24290.82,0.348,977.01,None
WRM-NAT-0033,Natural,Unstable,09687116,807851ac,43934.41,0.114,1727.02,None
WRM-NAT-0034,Natural,Stable,94bfa287,80977950,22621.94,1.0,1266.12,None
WRM-NAT-0035,Natural,Unstable,362c4daa,ab37e057,41747.12,0.0,1006.42,None
WRM-NAT-0036,Natural,Unstable,d8576aaf,41fc2dd4,11017.73,0.159,1554.53,None
WRM-NAT-0037,Natural,Unstable,d69b07b4,16a611db,39833.37,0.381,877.67,None
